Time,Step,Target_J1,Target_J2,Target_J3,Target_J4,Target_J5,Target_J6,Actual_J1,Actual_J2,Actual_J3,Actual_J4,Actual_J5,Actual_J6,Q_Error,Exec_us
0.0000,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0004,0.0004,0.0011,-0.0028,0.0010,0.0003,0.0032,0.2690
0.0010,1,0.0000,0.0000,0.0002,0.0000,0.0002,0.0000,0.0004,0.0004,0.0011,-0.0028,0.0010,0.0003,0.0031,0.1190
0.0020,1,0.0000,0.0000,0.0005,0.0000,0.0007,0.0000,0.0004,0.0004,0.0011,-0.0028,0.0010,0.0003,0.0029,0.0430
0.0030,1,0.0000,0.0000,0.0011,0.0000,0.0014,0.0000,0.0004,0.0004,0.0011,-0.0028,0.0010,0.0003,0.0029,0.0420
0.0040,1,0.0000,0.0000,0.0018,0.0000,0.0023,0.0000,0.0004,0.0004,0.0011,-0.0028,0.0010,0.0003,0.0032,0.0410
0.0050,1,0.0000,0.0000,0.0027,0.0000,0.0034,0.0000,0.0004,0.0004,0.0011,-0.0028,0.0010,0.0003,0.0041,0.0420
0.0060,1,0.0000,0.0000,0.0038,0.0000,0.0047,0.0000,0.0004,0.0004,0.0011,-0.0028,0.0010,0.0003,0.0055,0.1130
0.0070,1,0.0000,0.0000,0.0050,0.0000,0.0063,0.0000,0.0004,0.0004,0.0012,-0.0028,0.0010,0.0003,0.0072,0.1400
0.0080,1,0.0000,0.0000,0.0065,0.0000,0.0081,0.0000,0.0004,0.0004,0.0012,-0.0028,0.0010,0.0003,0.0093,0.0790
0.0090,1,0.0000,0.0000,0.0081,0.0000,0.0101,0.0000,0.0004,0.0004,0.0012,-0.0028,0.0010,0.0003,0.0118,0.1220
0.0100,1,0.0000,0.0000,0.0099,0.0000,0.0124,0.0000,0.0004,0.0004,0.0012,-0.0028,0.0010,0.0003,0.0146,0.1440
0.0110,1,0.0000,0.0000,0.0119,0.0000,0.0149,0.0000,0.0004,0.0004,0.0012,-0.0028,0.0010,0.0003,0.0178,0.0640
0.0120,1,0.0000,0.0000,0.0140,0.0000,0.0176,0.0000,0.0004,0.0004,0.0012,-0.0028,0.0010,0.0003,0.0212,0.1250
0.0130,1,0.0000,0.0000,0.0164,0.0000,0.0205,0.0000,0.0004,0.0004,0.0012,-0.0028,0.0010,0.0003,0.0249,0.1400
0.0140,1,0.0000,0.0000,0.0189,0.0000,0.0236,0.0000,0.0004,0.0004,0.0012,-0.0028,0.0010,0.0003,0.0289,0.1340
0.0150,1,0.0000,0.0000,0.0216,0.0000,0.0270,0.0000,0.0004,0.0004,0.0012,-0.0028,0.0010,0.0003,0.0332,0.1070
0.0160,1,0.0000,0.0000,0.0245,0.0000,0.0306,0.0000,0.0004,0.0004,0.0012,-0.0028,0.0010,0.0003,0.0378,0.0890
0.0170,1,0.0000,0.0000,0.0275,0.0000,0.0344,0.0000,0.0004,0.0004,0.0012,-0.0028,0.0010,0.0003,0.0427,0.2240
0.0180,1,0.0000,0.0000,0.0308,0.0000,0.0385,0.0000,0.0004,0.0004,0.0012,-0.0028,0.0010,0.0003,0.0479,0.2040
0.0190,1,0.0000,0.0000,0.0342,0.0000,0.0428,0.0000,0.0004,0.0004,0.0012,-0.0028,0.0010,0.0003,0.0533,0.1530
0.0200,1,0.0000,0.0000,0.0378,0.0000,0.0473,0.0000,0.0004,0.0004,0.0012,-0.0028,0.0010,0.0003,0.0591,0.0750
0.0210,1,0.0000,0.0000,0.0416,0.0000,0.0520,0.0000,0.0004,0.0004,0.0012,-0.0028,0.0010,0.0003,0.0651,0.0810
0.0220,1,0.0000,0.0000,0.0455,0.0000,0.0569,0.0000,0.0004,0.0004,0.0012,-0.0028,0.0010,0.0003,0.0715,0.0670
0.0230,1,0.0000,0.0000,0.0497,0.0000,0.0621,0.0000,0.0004,0.0002,0.0013,-0.0028,0.0010,0.0003,0.0780,0.0870
0.0240,1,0.0000,0.0000,0.0540,0.0000,0.0675,0.0000,0.0004,0.0002,0.0013,-0.0028,0.0010,0.0003,0.0849,0.0690
0.0250,1,0.0000,0.0000,0.0585,0.0000,0.0731,0.0000,0.0004,0.0002,0.0013,-0.0028,0.0010,0.0003,0.0921,0.2900
0.0260,1,0.0000,0.0000,0.0632,0.0000,0.0790,0.0000,0.0004,0.0002,0.0013,-0.0028,0.0010,0.0003,0.0996,0.0900
