Time,Step,Target_X,Target_Y,Target_Z,Actual_X,Actual_Y,Actual_Z,Q_Error,Exec_us
0.0000,1,0.4552,0.0345,0.4552,0,0,0,0.0001,0.3050
0.0010,1,0.4552,0.0345,0.4552,0,0,0,0.0001,0.2070
0.0020,1,0.4552,0.0345,0.4552,0,0,0,0.0001,0.0680
0.0030,1,0.4552,0.0345,0.4552,0,0,0,0.0001,0.4370
0.0040,1,0.4552,0.0345,0.4552,0,0,0,0.0001,0.0780
0.0050,1,0.4552,0.0345,0.4552,0,0,0,0.0001,0.3750
0.0060,1,0.4552,0.0345,0.4552,0,0,0,0.0001,0.1910
0.0070,1,0.4552,0.0345,0.4552,0,0,0,0.0001,0.2160
0.0080,1,0.4552,0.0345,0.4552,0,0,0,0.0001,0.0650
0.0090,1,0.4552,0.0345,0.4552,0,0,0,0.0002,0.4630
0.0100,1,0.4552,0.0345,0.4552,0,0,0,0.0002,0.4430
0.0110,1,0.4552,0.0345,0.4552,0,0,0,0.0002,0.0670
0.0120,1,0.4552,0.0345,0.4552,0,0,0,0.0002,0.1950
0.0130,1,0.4552,0.0345,0.4552,0,0,0,0.0003,0.1430
0.0140,1,0.4552,0.0345,0.4552,0,0,0,0.0004,0.0640
0.0150,1,0.4552,0.0345,0.4552,0,0,0,0.0004,0.0720
0.0160,1,0.4552,0.0345,0.4552,0,0,0,0.0005,0.0640
0.0170,1,0.4552,0.0345,0.4552,0,0,0,0.0006,0.2400
0.0180,1,0.4552,0.0345,0.4552,0,0,0,0.0008,0.1810
0.0190,1,0.4552,0.0345,0.4552,0,0,0,0.0009,0.1350
0.0200,1,0.4552,0.0345,0.4552,0,0,0,0.0011,0.1310
0.0210,1,0.4552,0.0345,0.4552,0,0,0,0.0011,0.0680
0.0220,1,0.4552,0.0345,0.4552,0,0,0,0.0016,0.0680
0.0230,1,0.4552,0.0345,0.4552,0,0,0,0.0018,0.0650
0.0240,1,0.4552,0.0345,0.4552,0,0,0,0.0021,0.0620
0.0250,1,0.4552,0.0345,0.4552,0,0,0,0.0024,0.0670
0.0260,1,0.4552,0.0345,0.4552,0,0,0,0.0028,0.0670
0.0270,1,0.4552,0.0345,0.4552,0,0,0,0.0032,0.0680
0.0280,1,0.4552,0.0345,0.4552,0,0,0,0.0037,0.0930
0.0290,1,0.4552,0.0345,0.4552,0,0,0,0.0042,0.1460
0.0300,1,0.4552,0.0345,0.4552,0,0,0,0.0042,0.1100
0.0310,1,0.4552,0.0345,0.4552,0,0,0,0.0054,0.0590
0.0320,1,0.4552,0.0345,0.4552,0,0,0,0.0061,0.0630
0.0330,1,0.4552,0.0345,0.4552,0,0,0,0.0068,0.0610
0.0340,1,0.4552,0.0345,0.4552,0,0,0,0.0076,0.0600
0.0350,1,0.4552,0.0345,0.4552,0,0,0,0.0084,0.0670
0.0360,1,0.4552,0.0345,0.4552,0,0,0,0.0092,0.0680
0.0370,1,0.4552,0.0345,0.4552,0,0,0,0.0101,0.0690
0.0380,1,0.4552,0.0345,0.4552,0,0,0,0.0112,0.0640
0.0390,1,0.4552,0.0345,0.4552,0,0,0,0.0122,0.0630
0.0400,1,0.4552,0.0345,0.4552,0,0,0,0.0134,0.0610
0.0410,1,0.4552,0.0345,0.4552,0,0,0,0.0146,0.0670
0.0420,1,0.4552,0.0345,0.4552,0,0,0,0.0159,0.0690
0.0430,1,0.4552,0.0345,0.4552,0,0,0,0.0171,0.0690
0.0440,1,0.4552,0.0345,0.4552,0,0,0,0.0185,0.0630
0.0450,1,0.4552,0.0345,0.4552,0,0,0,0.0184,0.1550
0.0460,1,0.4552,0.0345,0.4552,0,0,0,0.0216,0.1220
0.0470,1,0.4552,0.0345,0.4552,0,0,0,0.0233,0.0610
0.0480,1,0.4552,0.0345,0.4552,0,0,0,0.0248,0.0740
0.0490,1,0.4552,0.0345,0.4552,0,0,0,0.0266,0.0620
0.0500,1,0.4552,0.0345,0.4552,0,0,0,0.0284,0.0610
0.0510,1,0.4552,0.0345,0.4552,0,0,0,0.0303,0.0680
0.0520,1,0.4552,0.0345,0.4552,0,0,0,0.0323,0.0630
0.0530,1,0.4552,0.0345,0.4552,0,0,0,0.0344,0.0670
0.0540,1,0.4552,0.0345,0.4552,0,0,0,0.0365,0.0690
0.0550,1,0.4552,0.0345,0.4552,0,0,0,0.0387,0.0660
0.0560,1,0.4552,0.0345,0.4552,0,0,0,0.0408,0.0660
0.0570,1,0.4552,0.0345,0.4552,0,0,0,0.0431,0.0900
0.0580,1,0.4552,0.0345,0.4552,0,0,0,0.0454,0.0940
0.0590,1,0.4552,0.0345,0.4552,0,0,0,0.0454,0.0660
0.0600,1,0.4552,0.0345,0.4552,0,0,0,0.0510,0.1040
0.0610,1,0.4552,0.0345,0.4552,0,0,0,0.0535,0.0990
0.0620,1,0.4552,0.0345,0.4552,0,0,0,0.0560,0.1340
0.0630,1,0.4552,0.0345,0.4552,0,0,0,0.0586,0.1240
0.0640,1,0.4552,0.0345,0.4552,0,0,0,0.0614,0.0970
0.0650,1,0.4552,0.0345,0.4552,0,0,0,0.0641,0.1050
0.0660,1,0.4552,0.0345,0.4552,0,0,0,0.0669,0.0950
0.0670,1,0.4552,0.0345,0.4552,0,0,0,0.0697,0.4750
0.0680,1,0.4552,0.0345,0.4552,0,0,0,0.0710,0.2650
0.0690,1,0.4552,0.0345,0.4552,0,0,0,0.0737,0.4580
0.0700,1,0.4552,0.0345,0.4552,0,0,0,0.0765,0.1320
0.0710,1,0.4552,0.0345,0.4552,0,0,0,0.0791,0.1070
0.0720,1,0.4552,0.0345,0.4552,0,0,0,0.0818,0.1010
0.0730,1,0.4552,0.0345,0.4552,0,0,0,0.0846,0.0970
0.0740,1,0.4552,0.0345,0.4552,0,0,0,0.0876,0.0970
0.0750,1,0.4552,0.0345,0.4552,0,0,0,0.0906,0.5010
0.0760,1,0.4552,0.0345,0.4552,0,0,0,0.0938,0.1280
0.0770,1,0.4552,0.0345,0.4552,0,0,0,0.0912,0.1120
0.0780,1,0.4552,0.0345,0.4552,0,0,0,0.1000,0.0660
0.0790,1,0.4552,0.0345,0.4552,0,0,0,0.1030,0.0630
0.0800,1,0.4552,0.0345,0.4552,0,0,0,0.1060,0.1760
0.0810,1,0.4552,0.0345,0.4552,0,0,0,0.1091,0.0990
0.0820,1,0.4552,0.0345,0.4552,0,0,0,0.1123,0.0680
0.0830,1,0.4552,0.0345,0.4552,0,0,0,0.1156,0.0690
0.0840,1,0.4552,0.0345,0.4552,0,0,0,0.1122,0.0650
0.0850,1,0.4552,0.0345,0.4552,0,0,0,0.1224,0.0880
0.0860,1,0.4552,0.0345,0.4552,0,0,0,0.1257,0.0680
0.0870,1,0.4552,0.0345,0.4552,0,0,0,0.1330,0.1320
0.0880,1,0.4552,0.0345,0.4552,0,0,0,0.1365,0.0720
0.0890,1,0.4552,0.0345,0.4552,0,0,0,0.1400,0.0850
0.0900,1,0.4552,0.0345,0.4552,0,0,0,0.1437,0.1030
0.0910,1,0.4552,0.0345,0.4552,0,0,0,0.1473,0.0680
0.0920,1,0.4552,0.0345,0.4552,0,0,0,0.1510,0.0860
0.0930,1,0.4552,0.0345,0.4552,0,0,0,0.1549,0.0880
0.0940,1,0.4552,0.0345,0.4552,0,0,0,0.1586,0.0900
0.0950,1,0.4552,0.0345,0.4552,0,0,0,0.1624,0.1000
0.0960,1,0.4552,0.0345,0.4552,0,0,0,0.1609,0.2070
0.0970,1,0.4552,0.0345,0.4552,0,0,0,0.1642,0.1290
0.0980,1,0.4552,0.0345,0.4552,0,0,0,0.1672,0.4490
0.0990,1,0.4552,0.0345,0.4552,0,0,0,0.1699,0.0660
0.1000,1,0.4552,0.0345,0.4552,0,0,0,0.1727,0.0680
0.1010,1,0.4552,0.0345,0.4552,0,0,0,0.1758,0.0680
0.1020,1,0.4552,0.0345,0.4552,0,0,0,0.1792,0.4290
0.1030,1,0.4552,0.0345,0.4552,0,0,0,0.1831,0.3980
0.1040,1,0.4552,0.0345,0.4552,0,0,0,0.1934,0.0660
0.1050,1,0.4552,0.0345,0.4552,0,0,0,0.1975,0.0670
0.1060,1,0.4552,0.0345,0.4552,0,0,0,0.1950,0.0660
0.1070,1,0.4552,0.0345,0.4552,0,0,0,0.1989,2.5940
0.1080,1,0.4552,0.0345,0.4552,0,0,0,0.2025,0.0890
0.1090,1,0.4552,0.0345,0.4552,0,0,0,0.2060,0.0880
0.1100,1,0.4552,0.0345,0.4552,0,0,0,0.2095,0.4340
0.1110,1,0.4552,0.0345,0.4552,0,0,0,0.2133,0.0670
0.1120,1,0.4552,0.0345,0.4552,0,0,0,0.2170,0.1530
0.1130,1,0.4552,0.0345,0.4552,0,0,0,0.2210,0.1070
0.1140,1,0.4552,0.0345,0.4552,0,0,0,0.2126,0.0960
0.1150,1,0.4552,0.0345,0.4552,0,0,0,0.2284,0.0950
0.1160,1,0.4552,0.0345,0.4552,0,0,0,0.2408,0.2920
0.1170,1,0.4552,0.0345,0.4552,0,0,0,0.2444,0.2090
0.1180,1,0.4552,0.0345,0.4552,0,0,0,0.2255,0.0870
0.1190,1,0.4552,0.0345,0.4552,0,0,0,0.2414,0.0950
0.1200,1,0.4552,0.0345,0.4552,0,0,0,0.2448,0.0980
0.1210,1,0.4552,0.0345,0.4552,0,0,0,0.2482,0.0910
0.1220,1,0.4552,0.0345,0.4552,0,0,0,0.2519,0.0920
0.1230,1,0.4552,0.0345,0.4552,0,0,0,0.2556,0.0940
0.1240,1,0.4552,0.0345,0.4552,0,0,0,0.2595,0.1040
0.1250,1,0.4552,0.0345,0.4552,0,0,0,0.2631,0.0640
0.1260,1,0.4552,0.0345,0.4552,0,0,0,0.2666,0.0650
0.1270,1,0.4552,0.0345,0.4552,0,0,0,0.2699,0.0630
0.1280,1,0.4552,0.0345,0.4552,0,0,0,0.2733,0.0710
0.1290,1,0.4552,0.0345,0.4552,0,0,0,0.2769,0.1570
0.1300,1,0.4552,0.0345,0.4552,0,0,0,0.2810,0.1920
0.1310,1,0.4552,0.0345,0.4552,0,0,0,0.2849,0.1720
0.1320,1,0.4552,0.0345,0.4552,0,0,0,0.2889,0.0850
0.1330,1,0.4552,0.0345,0.4552,0,0,0,0.2929,0.5570
0.1340,1,0.4552,0.0345,0.4552,0,0,0,0.3086,0.0610
0.1350,1,0.4552,0.0345,0.4552,0,0,0,0.3125,0.0630
0.1360,1,0.4552,0.0345,0.4552,0,0,0,0.3165,0.4460
0.1370,1,0.4552,0.0345,0.4552,0,0,0,0.3203,0.4370
0.1380,1,0.4552,0.0345,0.4552,0,0,0,0.3235,0.4370
0.1390,1,0.4552,0.0345,0.4552,0,0,0,0.3264,0.4310
0.1400,1,0.4552,0.0345,0.4552,0,0,0,0.3285,0.1280
0.1410,1,0.4552,0.0345,0.4552,0,0,0,0.3308,0.1410
0.1420,1,0.4552,0.0345,0.4552,0,0,0,0.3336,0.0690
0.1430,1,0.4552,0.0345,0.4552,0,0,0,0.3370,0.6690
0.1440,1,0.4552,0.0345,0.4552,0,0,0,0.3409,0.0640
0.1450,1,0.4552,0.0345,0.4552,0,0,0,0.3294,0.0650
0.1460,1,0.4552,0.0345,0.4552,0,0,0,0.3319,0.0720
0.1470,1,0.4552,0.0345,0.4552,0,0,0,0.3344,0.0750
0.1480,1,0.4552,0.0345,0.4552,0,0,0,0.3369,0.4600
0.1490,1,0.4552,0.0345,0.4552,0,0,0,0.3399,0.0700
0.1500,1,0.4552,0.0345,0.4552,0,0,0,0.3437,0.1420
0.1510,1,0.4552,0.0345,0.4552,0,0,0,0.3479,0.0700
0.1520,1,0.4552,0.0345,0.4552,0,0,0,0.3523,0.4320
0.1530,1,0.4552,0.0345,0.4552,0,0,0,0.3560,0.4430
0.1540,1,0.4552,0.0345,0.4552,0,0,0,0.3590,0.0700
0.1550,1,0.4552,0.0345,0.4552,0,0,0,0.3617,0.0700
0.1560,1,0.4552,0.0345,0.4552,0,0,0,0.3645,0.0660
0.1570,1,0.4552,0.0345,0.4552,0,0,0,0.3676,0.0660
0.1580,1,0.4552,0.0345,0.4552,0,0,0,0.3715,0.0680
0.1590,1,0.4552,0.0345,0.4552,0,0,0,0.3752,0.0670
0.1600,1,0.4552,0.0345,0.4552,0,0,0,0.3955,0.3850
0.1610,1,0.4552,0.0345,0.4552,0,0,0,0.3810,0.4520
0.1620,1,0.4552,0.0345,0.4552,0,0,0,0.4016,0.1430
0.1630,1,0.4552,0.0345,0.4552,0,0,0,0.4039,0.0690
0.1640,1,0.4552,0.0345,0.4552,0,0,0,0.4059,0.0660
0.1650,1,0.4552,0.0345,0.4552,0,0,0,0.4080,0.4520
0.1660,1,0.4552,0.0345,0.4552,0,0,0,0.4103,0.4370
0.1670,1,0.4552,0.0345,0.4552,0,0,0,0.4127,0.4430
0.1680,1,0.4552,0.0345,0.4552,0,0,0,0.4152,0.4490
0.1690,1,0.4552,0.0345,0.4552,0,0,0,0.4178,0.0790
0.1700,1,0.4552,0.0345,0.4552,0,0,0,0.4204,0.2930
