Time,Step,Target_Info,Actual_J1,Actual_J2,Actual_J3,Actual_J4,Actual_J5,Actual_J6,Q_Error,Exec_us
0.0000,1,Move_to_Home,48.5896,-1.8007,19.2909,0.0178,129.2922,0.0003,0.0000,0.0450
0.0010,1,Move_to_Home,48.5896,-1.8007,19.2909,0.0178,129.2922,0.0003,0.0002,0.0380
0.0020,1,Move_to_Home,48.5896,-1.8007,19.2909,0.0178,129.2922,0.0003,0.0002,0.0360
0.0030,1,Move_to_Home,48.5896,-1.8007,19.2909,0.0178,129.2922,0.0003,0.0015,0.0310
0.0040,1,Move_to_Home,48.5896,-1.8007,19.2909,0.0178,129.2922,0.0003,0.0015,0.0340
0.0050,1,Move_to_Home,48.5896,-1.8007,19.2909,0.0178,129.2922,0.0003,0.0042,0.0340
0.0060,1,Move_to_Home,48.5896,-1.8007,19.2909,0.0178,129.2922,0.0003,0.0060,0.1690
0.0070,1,Move_to_Home,48.5896,-1.8007,19.2909,0.0178,129.2922,0.0003,0.0082,0.0680
0.0080,1,Move_to_Home,48.5896,-1.8007,19.2909,0.0178,129.2922,0.0003,0.0107,0.0560
0.0090,1,Move_to_Home,48.5896,-1.8007,19.2910,0.0178,129.2922,0.0003,0.0135,0.1150
0.0100,1,Move_to_Home,48.5896,-1.8007,19.2910,0.0178,129.2922,0.0003,0.0167,0.1100
0.0110,1,Move_to_Home,48.5897,-1.8007,19.2910,0.0178,129.2922,0.0003,0.0202,0.0850
0.0120,1,Move_to_Home,48.5899,-1.8006,19.2910,0.0178,129.2922,0.0003,0.0241,0.3020
0.0130,1,Move_to_Home,48.5902,-1.8006,19.2910,0.0178,129.2922,0.0003,0.0283,0.1010
0.0140,1,Move_to_Home,48.5903,-1.8006,19.2910,0.0178,129.2922,0.0003,0.0328,0.1000
0.0150,1,Move_to_Home,48.5903,-1.8006,19.2910,0.0178,129.2922,0.0003,0.0376,0.0910
0.0160,1,Move_to_Home,48.5904,-1.8006,19.2910,0.0178,129.2922,0.0003,0.0427,0.0880
0.0170,1,Move_to_Home,48.5904,-1.8006,19.2910,0.0176,129.2922,0.0003,0.0480,0.0850
0.0180,1,Move_to_Home,48.5903,-1.8006,19.2910,0.0176,129.2922,0.0003,0.0536,0.0580
0.0190,1,Move_to_Home,48.5902,-1.8005,19.2910,0.0176,129.2922,0.0003,0.0594,0.0590
0.0200,1,Move_to_Home,48.5899,-1.8004,19.2912,0.0176,129.2922,0.0003,0.0655,0.0840
0.0210,1,Move_to_Home,48.5897,-1.8000,19.2913,0.0176,129.2921,0.0003,0.0716,0.0880
0.0220,1,Move_to_Home,48.5893,-1.7997,19.2915,0.0176,129.2921,0.0003,0.0781,0.0570
0.0230,1,Move_to_Home,48.5884,-1.7987,19.2921,0.0176,129.2918,0.0003,0.0841,0.0890
0.0240,1,Move_to_Home,48.5878,-1.7981,19.2926,0.0176,129.2916,0.0003,0.0908,0.0860
0.0250,1,Move_to_Home,48.5870,-1.7974,19.2931,0.0176,129.2915,0.0003,0.0977,0.0860
0.0260,1,Move_to_Home,48.5861,-1.7966,19.2938,0.0176,129.2912,0.0003,0.1047,0.0520
0.0270,1,Move_to_Home,48.5852,-1.7955,19.2945,0.0176,129.2907,0.0003,0.1118,0.0870
0.0280,1,Move_to_Home,48.5841,-1.7943,19.2954,0.0176,129.2901,0.0003,0.1189,0.0820
0.0290,1,Move_to_Home,48.5829,-1.7931,19.2964,0.0176,129.2894,0.0003,0.1261,0.1460
0.0300,1,Move_to_Home,48.5816,-1.7919,19.2975,0.0176,129.2884,0.0003,0.1334,0.1110
0.0310,1,Move_to_Home,48.5816,-1.7919,19.2975,0.0176,129.2884,0.0003,0.1430,0.0310
0.0320,1,Move_to_Home,48.5802,-1.7906,19.2988,0.0176,129.2870,0.0003,0.1505,0.0860
0.0330,1,Move_to_Home,48.5787,-1.7894,19.3004,0.0176,129.2854,0.0003,0.1579,0.0780
0.0340,1,Move_to_Home,48.5769,-1.7882,19.3021,0.0176,129.2835,0.0003,0.1547,0.0890
0.0350,1,Move_to_Home,48.5751,-1.7870,19.3039,0.0176,129.2814,0.0003,0.1619,0.0860
0.0360,1,Move_to_Home,48.5732,-1.7857,19.3059,0.0176,129.2789,0.0003,0.1689,0.0900
0.0370,1,Move_to_Home,48.5713,-1.7845,19.3082,0.0176,129.2761,0.0003,0.1759,0.0840
0.0380,1,Move_to_Home,48.5693,-1.7835,19.3103,0.0176,129.2730,0.0003,0.1830,0.0620
0.0390,1,Move_to_Home,48.5673,-1.7824,19.3128,0.0176,129.2696,0.0003,0.1900,0.0920
0.0400,1,Move_to_Home,48.5652,-1.7812,19.3153,0.0176,129.2657,0.0003,0.2094,0.0900
0.0410,1,Move_to_Home,48.5628,-1.7800,19.3181,0.0176,129.2617,0.0003,0.2166,0.1310
0.0420,1,Move_to_Home,48.5603,-1.7788,19.3209,0.0176,129.2573,0.0003,0.2237,0.0530
0.0430,1,Move_to_Home,48.5576,-1.7777,19.3239,0.0176,129.2527,0.0003,0.2309,0.0860
0.0440,1,Move_to_Home,48.5548,-1.7768,19.3271,0.0176,129.2477,0.0003,0.2379,0.0840
0.0450,1,Move_to_Home,48.5518,-1.7757,19.3305,0.0176,129.2423,0.0003,0.2309,0.0580
0.0460,1,Move_to_Home,48.5488,-1.7746,19.3340,0.0177,129.2366,0.0003,0.2375,0.1920
0.0470,1,Move_to_Home,48.5459,-1.7737,19.3378,0.0177,129.2306,0.0003,0.2441,0.0770
0.0480,1,Move_to_Home,48.5427,-1.7726,19.3417,0.0177,129.2244,0.0003,0.2507,0.0340
0.0490,1,Move_to_Home,48.5392,-1.7716,19.3459,0.0177,129.2179,0.0003,0.2571,0.0330
0.0500,1,Move_to_Home,48.5321,-1.7695,19.3551,0.0177,129.2038,0.0003,0.2540,0.0360
0.0510,1,Move_to_Home,48.5285,-1.7685,19.3600,0.0177,129.1964,0.0003,0.2757,0.0310
0.0520,1,Move_to_Home,48.5247,-1.7676,19.3651,0.0177,129.1889,0.0003,0.2820,0.0330
0.0530,1,Move_to_Home,48.5208,-1.7665,19.3704,0.0177,129.1811,0.0003,0.2881,0.0330
0.0540,1,Move_to_Home,48.5166,-1.7655,19.3761,0.0177,129.1731,0.0003,0.2942,0.0340
0.0550,1,Move_to_Home,48.5125,-1.7646,19.3820,0.0177,129.1649,0.0003,0.3004,0.0350
0.0560,1,Move_to_Home,48.5082,-1.7635,19.3880,0.0177,129.1566,0.0003,0.3067,0.0300
0.0570,1,Move_to_Home,48.5037,-1.7626,19.3942,0.0177,129.1480,0.0003,0.3128,0.0310
0.0580,1,Move_to_Home,48.4992,-1.7617,19.4006,0.0177,129.1393,0.0003,0.3191,0.0330
0.0590,1,Move_to_Home,48.4992,-1.7617,19.4006,0.0177,129.1393,0.0003,0.3191,0.0360
0.0600,1,Move_to_Home,48.4945,-1.7609,19.4071,0.0177,129.1303,0.0003,0.3253,0.0350
0.0610,1,Move_to_Home,48.4897,-1.7599,19.4139,0.0177,129.1211,0.0003,0.3316,0.0690
0.0620,1,Move_to_Home,48.4848,-1.7590,19.4208,0.0177,129.1115,0.0003,0.3377,0.0390
0.0630,1,Move_to_Home,48.4797,-1.7580,19.4278,0.0177,129.1016,0.0003,0.3633,0.0320
0.0640,1,Move_to_Home,48.4746,-1.7569,19.4349,0.0177,129.0914,0.0003,0.3499,0.0360
0.0650,1,Move_to_Home,48.4693,-1.7560,19.4422,0.0177,129.0808,0.0003,0.3558,0.0300
0.0660,1,Move_to_Home,48.4639,-1.7551,19.4500,0.0177,129.0702,0.0003,0.3618,0.0310
0.0670,1,Move_to_Home,48.4582,-1.7543,19.4578,0.0176,129.0591,0.0003,0.3676,0.0290
0.0680,1,Move_to_Home,48.4526,-1.7535,19.4659,0.0176,129.0480,0.0003,0.3736,0.0350
0.0690,1,Move_to_Home,48.4466,-1.7526,19.4742,0.0176,129.0367,0.0003,0.3795,0.0290
0.0700,1,Move_to_Home,48.4406,-1.7518,19.4826,0.0176,129.0252,0.0003,0.3855,0.0350
0.0710,1,Move_to_Home,48.4346,-1.7507,19.4914,0.0176,129.0135,0.0003,0.3914,0.0330
0.0720,1,Move_to_Home,48.4284,-1.7496,19.5002,0.0176,129.0014,0.0003,0.3972,0.0340
0.0730,1,Move_to_Home,48.4221,-1.7487,19.5091,0.0176,128.9892,0.0003,0.4033,0.0340
0.0740,1,Move_to_Home,48.4157,-1.7477,19.5182,0.0176,128.9765,0.0003,0.4090,0.0330
0.0750,1,Move_to_Home,48.4091,-1.7469,19.5273,0.0176,128.9635,0.0003,0.4148,0.0310
0.0760,1,Move_to_Home,48.4025,-1.7459,19.5367,0.0176,128.9503,0.0003,0.4442,0.0320
0.0770,1,Move_to_Home,48.3889,-1.7439,19.5563,0.0176,128.9233,0.0003,0.4084,0.0670
0.0780,1,Move_to_Home,48.3817,-1.7428,19.5666,0.0176,128.9094,0.0003,0.4136,0.0700
0.0790,1,Move_to_Home,48.3745,-1.7417,19.5770,0.0176,128.8954,0.0003,0.4189,0.0310
