Time,Step,Target_J1,Target_J2,Target_J3,Target_J4,Target_J5,Target_J6,Actual_J1,Actual_J2,Actual_J3,Actual_J4,Actual_J5,Actual_J6,Q_Error,Exec_us
0.0000,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0004,0.0006,0.0011,-0.0030,0.0010,0.0018,0.0038,0.2270
0.0010,1,0.0000,0.0000,0.0001,0.0000,0.0001,0.0000,0.0004,0.0005,0.0011,-0.0030,0.0010,0.0018,0.0037,0.0960
0.0020,1,0.0000,0.0000,0.0004,0.0000,0.0005,0.0000,0.0004,0.0005,0.0011,-0.0030,0.0010,0.0018,0.0036,0.3360
0.0030,1,0.0000,0.0000,0.0008,0.0000,0.0010,0.0000,0.0004,0.0005,0.0011,-0.0030,0.0010,0.0018,0.0035,0.0650
0.0040,1,0.0000,0.0000,0.0014,0.0000,0.0018,0.0000,0.0004,0.0005,0.0011,-0.0030,0.0010,0.0018,0.0036,0.0960
0.0050,1,0.0000,0.0000,0.0023,0.0000,0.0028,0.0000,0.0004,0.0005,0.0011,-0.0030,0.0010,0.0018,0.0041,0.0670
0.0060,1,0.0000,0.0000,0.0032,0.0000,0.0041,0.0000,0.0004,0.0005,0.0011,-0.0030,0.0010,0.0018,0.0052,0.1300
0.0070,1,0.0000,0.0000,0.0044,0.0000,0.0055,0.0000,0.0004,0.0005,0.0011,-0.0030,0.0010,0.0018,0.0066,0.0860
0.0080,1,0.0000,0.0000,0.0058,0.0000,0.0072,0.0000,0.0004,0.0005,0.0011,-0.0030,0.0010,0.0018,0.0086,0.1340
0.0090,1,0.0000,0.0000,0.0073,0.0000,0.0091,0.0000,0.0004,0.0005,0.0011,-0.0030,0.0010,0.0018,0.0108,0.0650
0.0100,1,0.0000,0.0000,0.0090,0.0000,0.0113,0.0000,0.0004,0.0005,0.0011,-0.0030,0.0010,0.0018,0.0135,0.0640
0.0110,1,0.0000,0.0000,0.0109,0.0000,0.0136,0.0000,0.0004,0.0005,0.0011,-0.0030,0.0010,0.0018,0.0164,0.0800
0.0120,1,0.0000,0.0000,0.0130,0.0000,0.0162,0.0000,0.0004,0.0005,0.0011,-0.0030,0.0010,0.0018,0.0196,0.0700
0.0130,1,0.0000,0.0000,0.0152,0.0000,0.0190,0.0000,0.0004,0.0005,0.0011,-0.0030,0.0010,0.0018,0.0232,0.1060
0.0140,1,0.0000,0.0000,0.0176,0.0000,0.0221,0.0000,0.0004,0.0005,0.0011,-0.0030,0.0010,0.0018,0.0270,0.0710
0.0150,1,0.0000,0.0000,0.0203,0.0000,0.0253,0.0000,0.0004,0.0005,0.0011,-0.0030,0.0010,0.0018,0.0312,0.2850
0.0160,1,0.0000,0.0000,0.0230,0.0000,0.0288,0.0000,0.0004,0.0005,0.0011,-0.0030,0.0010,0.0018,0.0356,0.3030
0.0170,1,0.0000,0.0000,0.0260,0.0000,0.0325,0.0000,0.0004,0.0005,0.0012,-0.0030,0.0010,0.0018,0.0403,0.0640
0.0180,1,0.0000,0.0000,0.0292,0.0000,0.0365,0.0000,0.0004,0.0005,0.0012,-0.0030,0.0010,0.0018,0.0453,0.0620
0.0190,1,0.0000,0.0000,0.0325,0.0000,0.0406,0.0000,0.0004,0.0005,0.0012,-0.0030,0.0010,0.0018,0.0506,0.0620
0.0200,1,0.0000,0.0000,0.0360,0.0000,0.0450,0.0000,0.0004,0.0005,0.0012,-0.0030,0.0010,0.0018,0.0562,0.0650
0.0210,1,0.0000,0.0000,0.0397,0.0000,0.0496,0.0000,0.0004,0.0005,0.0012,-0.0030,0.0010,0.0018,0.0621,0.0650
0.0220,1,0.0000,0.0000,0.0436,0.0000,0.0545,0.0000,0.0004,0.0004,0.0012,-0.0030,0.0010,0.0018,0.0683,0.0650
0.0230,1,0.0000,0.0000,0.0476,0.0000,0.0595,0.0000,0.0004,0.0004,0.0012,-0.0030,0.0010,0.0018,0.0748,0.0630
0.0240,1,0.0000,0.0000,0.0518,0.0000,0.0648,0.0000,0.0004,0.0004,0.0012,-0.0030,0.0010,0.0018,0.0816,0.1100
0.0250,1,0.0000,0.0000,0.0563,0.0000,0.0703,0.0000,0.0004,0.0004,0.0012,-0.0030,0.0010,0.0018,0.0886,0.0860
0.0260,1,0.0000,0.0000,0.0608,0.0000,0.0761,0.0000,0.0004,0.0004,0.0012,-0.0030,0.0010,0.0018,0.0960,0.4550
0.0270,1,0.0000,0.0000,0.0656,0.0000,0.0820,0.0000,0.0004,0.0004,0.0012,-0.0030,0.0010,0.0018,0.1036,0.0650
0.0280,1,0.0000,0.0000,0.0706,0.0000,0.0882,0.0000,0.0004,0.0004,0.0012,-0.0030,0.0010,0.0018,0.1115,0.0670
0.0290,1,0.0000,0.0000,0.0757,0.0000,0.0946,0.0000,0.0004,0.0004,0.0012,-0.0030,0.0010,0.0018,0.1197,0.0660
0.0300,1,0.0000,0.0000,0.0810,0.0000,0.1013,0.0000,0.0004,0.0004,0.0012,-0.0028,0.0010,0.0018,0.1282,0.4480
