Time,Curr_X,Curr_Y,Curr_Z,Goal_Z
0,0.559,0.0345,0.651502,0.7515
0.001,0.559,0.0345,0.651505,0.7515
0.002,0.559,0.0345,0.65151,0.7515
0.003,0.559,0.0345,0.651515,0.7515
0.004,0.559,0.0345,0.65152,0.7515
0.005,0.559,0.0345,0.651525,0.7515
0.006,0.559,0.0345,0.65153,0.7515
0.007,0.559,0.0345,0.651535,0.7515
0.008,0.559,0.0345,0.65154,0.7515
0.009,0.559,0.0345,0.651545,0.7515
0.01,0.559,0.0345,0.65155,0.7515
0.011,0.559,0.0345,0.651555,0.7515
0.012,0.559,0.0345,0.65156,0.7515
0.013,0.559,0.0345,0.651565,0.7515
0.014,0.559,0.0345,0.65157,0.7515
0.015,0.559,0.0345,0.651575,0.7515
0.016,0.559,0.0345,0.65158,0.7515
0.017,0.559,0.0345,0.651585,0.7515
0.018,0.559,0.0345,0.65159,0.7515
0.019,0.559,0.0345,0.651595,0.7515
0.02,0.559,0.0345,0.6516,0.7515
0.021,0.559,0.0345,0.651605,0.7515
0.022,0.559,0.0345,0.65161,0.7515
0.023,0.559,0.0345,0.651615,0.7515
0.024,0.559,0.0345,0.65162,0.7515
0.025,0.559,0.0345,0.651625,0.7515
0.026,0.559,0.0345,0.65163,0.7515
0.027,0.559,0.0345,0.651635,0.7515
0.028,0.559,0.0345,0.65164,0.7515
0.029,0.559,0.0345,0.651645,0.7515
0.03,0.559,0.0345,0.65165,0.7515
0.031,0.559,0.0345,0.651655,0.7515
0.032,0.559,0.0345,0.65166,0.7515
0.033,0.559,0.0345,0.651665,0.7515
0.034,0.559,0.0345,0.65167,0.7515
0.035,0.559,0.0345,0.651675,0.7515
0.036,0.559,0.0345,0.65168,0.7515
0.037,0.559,0.0345,0.651685,0.7515
0.038,0.559,0.0345,0.65169,0.7515
0.039,0.559,0.0345,0.651695,0.7515
0.04,0.559,0.0345,0.6517,0.7515
0.041,0.559,0.0345,0.651705,0.7515
0.042,0.559,0.0345,0.65171,0.7515
0.043,0.559,0.0345,0.651715,0.7515
0.044,0.559,0.0345,0.65172,0.7515
0.045,0.559,0.0345,0.651725,0.7515
0.046,0.559,0.0345,0.65173,0.7515
0.047,0.559,0.0345,0.651735,0.7515
0.048,0.559,0.0345,0.65174,0.7515
0.049,0.559,0.0345,0.651745,0.7515
0.05,0.559,0.0345,0.65175,0.7515
0.051,0.559,0.0345,0.651755,0.7515
0.052,0.559,0.0345,0.65176,0.7515
0.053,0.559,0.0345,0.651765,0.7515
0.054,0.559,0.0345,0.65177,0.7515
0.055,0.559,0.0345,0.651775,0.7515
0.056,0.559,0.0345,0.65178,0.7515
0.057,0.559,0.0345,0.651785,0.7515
0.058,0.559,0.0345,0.65179,0.7515
0.059,0.559,0.0345,0.651795,0.7515
0.06,0.559,0.0345,0.6518,0.7515
0.061,0.559,0.0345,0.651805,0.7515
0.062,0.559,0.0345,0.65181,0.7515
0.063,0.559,0.0345,0.651815,0.7515
0.064,0.559,0.0345,0.65182,0.7515
0.065,0.559,0.0345,0.651825,0.7515
0.066,0.559,0.0345,0.65183,0.7515
0.067,0.559,0.0345,0.651835,0.7515
0.068,0.559,0.0345,0.651839,0.7515
0.069,0.559,0.0345,0.651844,0.7515
0.07,0.559,0.0345,0.651849,0.7515
0.071,0.559,0.0345,0.651854,0.7515
0.072,0.559,0.0345,0.651859,0.7515
0.073,0.559,0.0345,0.651864,0.7515
0.074,0.559,0.0345,0.651869,0.7515
0.075,0.559,0.0345,0.651874,0.7515
