time,q1,q2,q3,q4,q5,q6,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6
0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,0.000000,0.034500,0.772500,-0.000000,0.034500,1.331500,-0.000000,0.034500,1.331500,-0.000000,0.034500,1.452500
0.0010,0.000000,-0.000469,0.001406,-0.000937,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.000291,0.034500,0.772500,0.000233,0.034500,1.331500,0.000233,0.034500,1.331500,0.000347,0.034500,1.452500
0.0020,0.000000,-0.001875,0.005625,-0.003750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.001162,0.034500,0.772499,0.000934,0.034500,1.331495,0.000934,0.034500,1.331495,0.001387,0.034500,1.452494
0.0030,0.000000,-0.004219,0.012656,-0.008438,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.002616,0.034500,0.772494,0.002101,0.034500,1.331475,0.002101,0.034500,1.331475,0.003122,0.034500,1.452470
0.0040,0.000000,-0.007500,0.022500,-0.015000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.004650,0.034500,0.772483,0.003735,0.034500,1.331420,0.003735,0.034500,1.331420,0.005550,0.034500,1.452406
0.0050,0.000000,-0.011719,0.035156,-0.023437,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.007265,0.034500,0.772457,0.005835,0.034500,1.331304,0.005835,0.034500,1.331304,0.008671,0.034500,1.452271
0.0060,0.000000,-0.016875,0.050625,-0.033750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.010462,0.034500,0.772412,0.008401,0.034500,1.331093,0.008401,0.034500,1.331093,0.012484,0.034500,1.452024
0.0070,0.000000,-0.022969,0.068906,-0.045937,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.014239,0.034500,0.772336,0.011431,0.034500,1.330747,0.011431,0.034500,1.330747,0.016987,0.034500,1.451619
0.0080,0.000000,-0.030000,0.090000,-0.060000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.018597,0.034500,0.772221,0.014923,0.034500,1.330215,0.014923,0.034500,1.330215,0.022178,0.034500,1.450997
0.0090,0.000000,-0.037969,0.113906,-0.075938,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.023535,0.034500,0.772053,0.018873,0.034500,1.329442,0.018873,0.034500,1.329442,0.028053,0.034500,1.450093
0.0100,0.000000,-0.046875,0.140625,-0.093750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.029052,0.034500,0.771819,0.023278,0.034500,1.328364,0.023278,0.034500,1.328364,0.034605,0.034500,1.448833
0.0110,0.000000,-0.056719,0.170156,-0.113438,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.035147,0.034500,0.771503,0.028129,0.034500,1.326910,0.028129,0.034500,1.326910,0.041825,0.034500,1.447133
0.0120,0.000000,-0.067484,0.202453,-0.134968,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.041808,0.034500,0.771089,0.033410,0.034500,1.325005,0.033410,0.034500,1.325005,0.049692,0.034500,1.444905
0.0130,0.000000,-0.078562,0.235686,-0.157124,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.048658,0.034500,0.770588,0.038813,0.034500,1.322702,0.038813,0.034500,1.322702,0.057747,0.034500,1.442211
0.0140,0.000000,-0.089640,0.268920,-0.179280,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.055502,0.034500,0.770011,0.044179,0.034500,1.320051,0.044179,0.034500,1.320051,0.065756,0.034500,1.439112
0.0150,0.000000,-0.100718,0.302153,-0.201435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.062339,0.034500,0.769358,0.049503,0.034500,1.317055,0.049503,0.034500,1.317055,0.073712,0.034500,1.435609
0.0160,0.000000,-0.111796,0.335387,-0.223591,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.069169,0.034500,0.768630,0.054780,0.034500,1.313715,0.054780,0.034500,1.313715,0.081609,0.034500,1.431703
