Time,TCP_Z,Error_Z,Joint_V_Norm
0,0.651502,0.0999982,0.288141
0.001,0.651505,0.0999947,0.576281
0.002,0.65151,0.0999897,0.72393
0.003,0.651515,0.0999847,0.723933
0.004,0.65152,0.0999797,0.723936
0.005,0.651525,0.0999747,0.72394
0.006,0.65153,0.0999697,0.723943
0.007,0.651535,0.0999647,0.723947
0.008,0.65154,0.0999598,0.72395
0.009,0.651545,0.0999548,0.723954
0.01,0.65155,0.0999498,0.723957
0.011,0.651555,0.0999448,0.723961
0.012,0.65156,0.0999398,0.723964
0.013,0.651565,0.0999348,0.723968
0.014,0.65157,0.0999298,0.723971
0.015,0.651575,0.0999248,0.723975
0.016,0.65158,0.0999198,0.723978
0.017,0.651585,0.0999148,0.723982
0.018,0.65159,0.0999098,0.723985
0.019,0.651595,0.0999048,0.723988
0.02,0.6516,0.0998998,0.723992
0.021,0.651605,0.0998948,0.723995
0.022,0.65161,0.0998898,0.723999
0.023,0.651615,0.0998848,0.724002
0.024,0.65162,0.0998798,0.724006
0.025,0.651625,0.0998748,0.724009
0.026,0.65163,0.0998698,0.724013
0.027,0.651635,0.0998648,0.724016
0.028,0.65164,0.0998598,0.72402
0.029,0.651645,0.0998548,0.724023
0.03,0.65165,0.0998498,0.724026
0.031,0.651655,0.0998448,0.72403
0.032,0.65166,0.0998398,0.724033
0.033,0.651665,0.0998348,0.724037
0.034,0.65167,0.0998298,0.72404
0.035,0.651675,0.0998248,0.724044
0.036,0.65168,0.0998198,0.724047
0.037,0.651685,0.0998148,0.724051
0.038,0.65169,0.0998098,0.724054
0.039,0.651695,0.0998049,0.724057
0.04,0.6517,0.0997999,0.724061
0.041,0.651705,0.0997949,0.724064
0.042,0.65171,0.0997899,0.724068
0.043,0.651715,0.0997849,0.724071
0.044,0.65172,0.0997799,0.724075
0.045,0.651725,0.0997749,0.724078
0.046,0.65173,0.0997699,0.724082
0.047,0.651735,0.0997649,0.724085
0.048,0.65174,0.0997599,0.724088
0.049,0.651745,0.0997549,0.724092
0.05,0.65175,0.0997499,0.724095
0.051,0.651755,0.0997449,0.724099
0.052,0.65176,0.0997399,0.724102
0.053,0.651765,0.0997349,0.724106
0.054,0.65177,0.0997299,0.724109
0.055,0.651775,0.0997249,0.724112
0.056,0.65178,0.0997199,0.724116
0.057,0.651785,0.0997149,0.724119
0.058,0.65179,0.0997099,0.724123
0.059,0.651795,0.0997049,0.724126
0.06,0.6518,0.0996999,0.724129
0.061,0.651805,0.0996949,0.724133
0.062,0.65181,0.0996899,0.724136
0.063,0.651815,0.0996849,0.72414
0.064,0.65182,0.0996799,0.724143
0.065,0.651825,0.0996749,0.724147
0.066,0.65183,0.0996699,0.72415
0.067,0.651835,0.0996649,0.724153
0.068,0.65184,0.0996599,0.724157
0.069,0.651845,0.0996549,0.72416
0.07,0.65185,0.0996499,0.724164
0.071,0.651855,0.099645,0.724167
0.072,0.65186,0.09964,0.72417
0.073,0.651865,0.099635,0.724174
0.074,0.65187,0.09963,0.724177
0.075,0.651875,0.099625,0.724181
0.076,0.65188,0.09962,0.724184
0.077,0.651885,0.099615,0.724188
0.078,0.65189,0.09961,0.724191
0.079,0.651895,0.099605,0.724194
0.08,0.6519,0.0996,0.724198
0.081,0.651905,0.099595,0.724201
0.082,0.65191,0.09959,0.724205
0.083,0.651915,0.099585,0.724208
0.084,0.65192,0.09958,0.724211
0.085,0.651925,0.099575,0.724215
0.086,0.65193,0.09957,0.724218
0.087,0.651935,0.099565,0.724222
0.088,0.65194,0.09956,0.724225
0.089,0.651945,0.099555,0.724228
0.09,0.65195,0.09955,0.724232
0.091,0.651955,0.099545,0.724235
0.092,0.65196,0.09954,0.724238
0.093,0.651965,0.099535,0.724242
0.094,0.65197,0.09953,0.724245
0.095,0.651975,0.099525,0.724249
0.096,0.65198,0.09952,0.724252
0.097,0.651985,0.099515,0.724255
0.098,0.65199,0.09951,0.724259
0.099,0.651995,0.099505,0.724262
0.1,0.652,0.0995,0.724266
0.101,0.652005,0.099495,0.724269
0.102,0.65201,0.0994901,0.724272
0.103,0.652015,0.0994851,0.724276
0.104,0.65202,0.0994801,0.724279
0.105,0.652025,0.0994751,0.724283
0.106,0.65203,0.0994701,0.724286
0.107,0.652035,0.0994651,0.724289
0.108,0.65204,0.0994601,0.724293
0.109,0.652045,0.0994551,0.724296
0.11,0.65205,0.0994501,0.724299
0.111,0.652055,0.0994451,0.724303
