Time,Desired_Q,Desired_DQ,Desired_DDQ
0,0.00012,0.12,120
0.001,0.00036,0.24,120
0.002,0.00072,0.36,120
0.003,0.0012,0.48,120
0.004,0.0018,0.6,120
0.005,0.00252,0.72,120
0.006,0.00336,0.84,120
0.007,0.00432,0.96,120
0.008,0.0054,1.08,120
0.009,0.0066,1.2,120
0.01,0.00792,1.32,120
0.011,0.00936,1.44,120
0.012,0.01092,1.56,120
0.013,0.0126,1.68,120
0.014,0.0144,1.8,120
0.015,0.01632,1.92,120
0.016,0.01836,2.04,120
0.017,0.02052,2.16,120
0.018,0.0228,2.28,120
0.019,0.0252,2.4,120
0.02,0.02772,2.52,120
0.021,0.03036,2.64,120
0.022,0.03312,2.76,120
0.023,0.036,2.88,120
0.024,0.039,3,120
0.025,0.04212,3.12,120
0.026,0.04536,3.24,120
0.027,0.04872,3.36,120
0.028,0.0522,3.48,120
0.029,0.0558,3.6,120
0.03,0.05952,3.72,120
0.031,0.06336,3.84,120
0.032,0.06732,3.96,120
0.033,0.0714,4.08,120
0.034,0.0756,4.2,120
0.035,0.07992,4.32,120
0.036,0.08436,4.44,120
0.037,0.08892,4.56,120
0.038,0.0936,4.68,120
0.039,0.0984,4.8,120
0.04,0.10332,4.92,120
0.041,0.10836,5.04,120
0.042,0.11352,5.16,120
0.043,0.1188,5.28,120
0.044,0.1242,5.4,120
0.045,0.12972,5.52,120
0.046,0.13536,5.64,120
0.047,0.14112,5.76,120
0.048,0.147,5.88,120
0.049,0.153,6,120
0.05,0.15912,6.12,120
0.051,0.16536,6.24,120
0.052,0.17172,6.36,120
0.053,0.1782,6.48,120
0.054,0.1848,6.6,120
0.055,0.19152,6.72,120
0.056,0.19836,6.84,120
0.057,0.20532,6.96,120
0.058,0.2124,7.08,120
0.059,0.2196,7.2,120
0.06,0.22692,7.32,120
0.061,0.23436,7.44,120
0.062,0.24192,7.56,120
0.063,0.2496,7.68,120
0.064,0.2574,7.8,120
0.065,0.26532,7.92,120
0.066,0.27336,8.04,120
0.067,0.28152,8.16,120
0.068,0.2898,8.28,120
0.069,0.2982,8.4,120
0.07,0.30672,8.52,120
0.071,0.31536,8.64,120
0.072,0.32412,8.76,120
0.073,0.333,8.88,120
0.074,0.342,9,120
0.075,0.35112,9.12,120
0.076,0.36036,9.24,120
0.077,0.36972,9.36,120
0.078,0.3792,9.48,120
0.079,0.3888,9.6,120
0.08,0.39852,9.72,120
0.081,0.40836,9.84,120
0.082,0.41832,9.96,120
0.083,0.4284,10.08,120
0.084,0.4386,10.2,120
0.085,0.44892,10.32,120
0.086,0.45936,10.44,120
0.087,0.46992,10.56,120
0.088,0.4806,10.68,120
0.089,0.4914,10.8,120
0.09,0.50232,10.92,120
0.091,0.51336,11.04,120
0.092,0.52452,11.16,120
0.093,0.5358,11.28,120
0.094,0.5472,11.4,120
0.095,0.55872,11.52,120
0.096,0.57036,11.64,120
0.097,0.58212,11.76,120
0.098,0.594,11.88,120
0.099,0.606,12,120
0.1,0.61812,12.12,120
0.101,0.63036,12.24,120
0.102,0.64272,12.36,120
0.103,0.6552,12.48,120
0.104,0.6678,12.6,120
0.105,0.68052,12.72,120
0.106,0.69336,12.84,120
0.107,0.70632,12.96,120
0.108,0.7194,13.08,120
0.109,0.7326,13.2,120
0.11,0.74592,13.32,120
0.111,0.75936,13.44,120
0.112,0.77292,13.56,120
0.113,0.7866,13.68,120
0.114,0.8004,13.8,120
0.115,0.81432,13.92,120
0.116,0.82836,14.04,120
0.117,0.84252,14.16,120
0.118,0.8568,14.28,120
0.119,0.8712,14.4,120
0.12,0.88572,14.52,120
0.121,0.90036,14.64,120
0.122,0.91512,14.76,120
0.123,0.93,14.88,120
0.124,0.945,15,120
0.125,0.96012,15.12,120
0.126,0.97536,15.24,120
0.127,0.99072,15.36,120
0.128,1.0062,15.48,120
0.129,1.0218,15.6,120
0.13,1.03752,15.72,120
0.131,1.05336,15.84,120
0.132,1.06932,15.96,120
0.133,1.0854,16.08,120
0.134,1.1016,16.2,120
0.135,1.11792,16.32,120
0.136,1.13436,16.44,120
0.137,1.15092,16.56,120
0.138,1.1676,16.68,120
0.139,1.1844,16.8,120
0.14,1.20132,16.92,120
0.141,1.21836,17.04,120
0.142,1.23552,17.16,120
0.143,1.2528,17.28,120
0.144,1.2702,17.4,120
0.145,1.28772,17.52,120
0.146,1.30536,17.64,120
0.147,1.32312,17.76,120
0.148,1.341,17.88,120
0.149,1.359,18,120
0.15,1.37712,18.12,120
0.151,1.39536,18.24,120
0.152,1.41372,18.36,120
0.153,1.4322,18.48,120
0.154,1.4508,18.6,120
0.155,1.46952,18.72,120
0.156,1.48836,18.84,120
0.157,1.50732,18.96,120
0.158,1.5264,19.08,120
0.159,1.5456,19.2,120
0.16,1.56492,19.32,120
0.161,1.58436,19.44,120
0.162,1.60392,19.56,120
0.163,1.6236,19.68,120
0.164,1.6434,19.8,120
0.165,1.66332,19.92,120
0.166,1.68336,20.04,120
0.167,1.70352,20.16,120
0.168,1.7238,20.28,120
0.169,1.7442,20.4,120
