Time,Step,Q_Err,DQ_Norm,DDQ_Norm,Exec_us,Reached
0.000000,1,112.804704,0.476943,476.943393,0.961000,1
0.001000,1,112.803827,0.953887,476.943393,0.342000,0
0.002000,1,112.802513,1.430830,476.943393,0.339000,0
0.003000,1,112.800760,1.907774,476.943393,0.256000,0
0.004000,1,112.798570,2.384717,476.943393,0.255000,0
0.005000,1,112.795941,2.861660,476.943393,0.254000,0
0.006000,1,112.792874,3.338604,476.943393,0.254000,0
0.007000,1,112.789369,3.815547,476.943393,0.255000,0
0.008000,1,112.785426,4.292491,476.943393,0.254000,0
0.009000,1,112.781044,4.769434,476.943393,0.254000,0
0.010000,1,112.776225,5.246377,476.943393,0.254000,0
0.011000,1,112.770967,5.723321,476.943393,0.254000,0
0.012000,1,112.765272,6.200264,476.943393,0.254000,0
0.013000,1,112.759138,6.677208,476.943393,0.254000,0
0.014000,1,112.752567,7.154151,476.943393,0.254000,0
0.015000,1,112.745557,7.631094,476.943393,0.253000,0
0.016000,1,112.738109,8.108038,476.943393,0.256000,0
0.017000,1,112.730224,8.584981,476.943393,0.252000,0
0.018000,1,112.721900,9.061623,476.642287,0.253000,0
0.019000,1,112.713139,9.537824,476.204556,0.252000,0
0.020000,1,112.703940,10.013588,475.771371,0.253000,0
0.021000,1,112.694305,10.488917,475.342694,0.254000,0
0.022000,1,112.684232,10.963814,474.918488,0.254000,0
0.023000,1,112.673723,11.438282,474.498716,0.255000,0
0.024000,1,112.662777,11.912326,474.083342,0.253000,0
0.025000,1,112.651395,12.385947,473.672327,0.253000,0
0.026000,1,112.639576,12.859149,473.265637,0.255000,0
0.027000,1,112.627322,13.331937,472.863234,0.255000,0
0.028000,1,112.614633,13.804312,472.465083,0.253000,0
0.029000,1,112.601508,14.276279,472.071147,0.255000,0
0.030000,1,112.587948,14.747842,471.681392,0.253000,0
0.031000,1,112.573953,15.219003,471.295781,0.255000,0
0.032000,1,112.559523,15.689766,470.914280,0.254000,0
0.033000,1,112.544659,16.160135,470.536853,0.254000,0
0.034000,1,112.529360,16.630113,470.163465,0.253000,0
0.035000,1,112.513627,17.099704,469.794082,0.253000,0
0.036000,1,112.497461,17.568910,469.428669,0.253000,0
0.037000,1,112.480861,18.037736,469.067193,0.254000,0
0.038000,1,112.463828,18.506185,468.709618,0.253000,0
0.039000,1,112.446361,18.974260,468.355912,0.253000,0
0.040000,1,112.428462,19.441965,468.006040,0.257000,0
0.041000,1,112.410130,19.909303,467.659969,0.253000,0
0.042000,1,112.391365,20.376277,467.317666,0.253000,0
0.043000,1,112.372168,20.842890,466.979098,0.253000,0
0.044000,1,112.352539,21.309147,466.644232,0.251000,0
0.045000,1,112.332478,21.775050,466.313036,0.254000,0
0.046000,1,112.311986,22.240602,465.985476,0.254000,0
0.047000,1,112.291062,22.705807,465.661521,0.254000,0
0.048000,1,112.269707,23.170668,465.341139,0.255000,0
0.049000,1,112.247921,23.635189,465.024298,0.256000,0
0.050000,1,112.225705,24.099371,464.710966,0.254000,0
0.051000,1,112.203058,24.562954,464.131131,0.254000,0
0.052000,1,112.179981,25.025472,463.082997,0.256000,0
0.053000,1,112.156475,25.486934,462.044815,0.254000,0
0.054000,1,112.132541,25.947344,461.016524,0.305000,0
0.055000,1,112.108178,26.406710,459.998065,0.265000,0
0.056000,1,112.083389,26.865038,458.989376,0.254000,0
0.057000,1,112.058173,27.322335,457.990398,0.252000,0
0.058000,1,112.032531,27.778607,457.001070,0.255000,0
0.059000,1,112.006463,28.233861,456.021333,0.254000,0
0.060000,1,111.979970,28.688105,455.051126,0.253000,0
0.061000,1,111.953054,29.141345,454.090389,0.253000,0
0.062000,1,111.925714,29.593589,453.139063,0.252000,0
0.063000,1,111.897950,30.044843,452.197087,0.252000,0
0.064000,1,111.869765,30.495114,451.264401,0.254000,0
0.065000,1,111.841157,30.944410,450.340946,0.304000,0
0.066000,1,111.812128,31.392738,449.426662,0.258000,0
0.067000,1,111.782679,31.840106,448.521489,0.255000,0
0.068000,1,111.752809,32.286519,447.625367,0.257000,0
0.069000,1,111.722520,32.731986,446.738237,0.256000,0
