Time,Pos,Vel,Acc
0,0.00018,0.18,180
0.001,0.00054,0.36,180
0.002,0.00108,0.54,180
0.003,0.0018,0.72,180
0.004,0.0027,0.9,180
0.005,0.00378,1.08,180
0.006,0.00504,1.26,180
0.007,0.00648,1.44,180
0.008,0.0081,1.62,180
0.009,0.0099,1.8,180
0.01,0.01188,1.98,180
0.011,0.01404,2.16,180
0.012,0.01638,2.34,180
0.013,0.0189,2.52,180
0.014,0.0216,2.7,180
0.015,0.02448,2.88,180
0.016,0.02754,3.06,180
0.017,0.03078,3.24,180
0.018,0.0342,3.42,180
0.019,0.0378,3.6,180
0.02,0.04158,3.78,180
0.021,0.04554,3.96,180
0.022,0.04968,4.14,180
0.023,0.054,4.32,180
0.024,0.0585,4.5,180
0.025,0.06318,4.68,180
0.026,0.06804,4.86,180
0.027,0.07308,5.04,180
0.028,0.0783,5.22,180
0.029,0.0837,5.4,180
0.03,0.08928,5.58,180
0.031,0.09504,5.76,180
0.032,0.10098,5.94,180
0.033,0.1071,6.12,180
0.034,0.1134,6.3,180
0.035,0.11988,6.48,180
0.036,0.12654,6.66,180
0.037,0.13338,6.84,180
0.038,0.1404,7.02,180
0.039,0.1476,7.2,180
0.04,0.15498,7.38,180
0.041,0.16254,7.56,180
0.042,0.17028,7.74,180
0.043,0.1782,7.92,180
0.044,0.1863,8.1,180
0.045,0.19458,8.28,180
0.046,0.20304,8.46,180
0.047,0.21168,8.64,180
0.048,0.2205,8.82,180
0.049,0.2295,9,180
0.05,0.23868,9.18,180
0.051,0.24804,9.36,180
0.052,0.25758,9.54,180
0.053,0.2673,9.72,180
0.054,0.2772,9.9,180
0.055,0.28728,10.08,180
0.056,0.29754,10.26,180
0.057,0.30798,10.44,180
0.058,0.3186,10.62,180
0.059,0.3294,10.8,180
0.06,0.34038,10.98,180
0.061,0.35154,11.16,180
0.062,0.36288,11.34,180
0.063,0.3744,11.52,180
0.064,0.3861,11.7,180
0.065,0.39798,11.88,180
0.066,0.41004,12.06,180
0.067,0.42228,12.24,180
0.068,0.4347,12.42,180
0.069,0.4473,12.6,180
0.07,0.46008,12.78,180
