Time,Step,J3_Pos,J3_Err,J3_Vel,Kp
0,UP,90.0002,19.9998,0.18,50
0.001,UP,90.0005,19.9995,0.36,50
0.002,UP,90.0011,19.9989,0.54,50
0.003,UP,90.0018,19.9982,0.72,50
0.004,UP,90.0027,19.9973,0.9,50
0.005,UP,90.0038,19.9962,1.08,50
0.006,UP,90.005,19.995,1.26,50
0.007,UP,90.0065,19.9935,1.44,50
0.008,UP,90.0081,19.9919,1.62,50
0.009,UP,90.0099,19.9901,1.8,50
0.01,UP,90.0119,19.9881,1.98,50
0.011,UP,90.014,19.986,2.16,50
0.012,UP,90.0164,19.9836,2.34,50
0.013,UP,90.0189,19.9811,2.52,50
0.014,UP,90.0216,19.9784,2.7,50
0.015,UP,90.0245,19.9755,2.88,50
0.016,UP,90.0275,19.9725,3.06,50
0.017,UP,90.0308,19.9692,3.24,50
0.018,UP,90.0342,19.9658,3.42,50
0.019,UP,90.0378,19.9622,3.6,50
0.02,UP,90.0416,19.9584,3.78,50
0.021,UP,90.0455,19.9545,3.96,50
0.022,UP,90.0497,19.9503,4.14,50
0.023,UP,90.054,19.946,4.32,50
0.024,UP,90.0585,19.9415,4.5,50
0.025,UP,90.0632,19.9368,4.68,50
0.026,UP,90.068,19.932,4.86,50
0.027,UP,90.0731,19.9269,5.04,50
0.028,UP,90.0783,19.9217,5.22,50
0.029,UP,90.0837,19.9163,5.4,50
0.03,UP,90.0893,19.9107,5.58,50
0.031,UP,90.095,19.905,5.76,50
0.032,UP,90.101,19.899,5.94,50
0.033,UP,90.1071,19.8929,6.12,50
0.034,UP,90.1134,19.8866,6.3,50
0.035,UP,90.1199,19.8801,6.48,50
0.036,UP,90.1265,19.8735,6.66,50
0.037,UP,90.1334,19.8666,6.84,50
0.038,UP,90.1404,19.8596,7.02,50
0.039,UP,90.1476,19.8524,7.2,50
0.04,UP,90.155,19.845,7.38,50
0.041,UP,90.1625,19.8375,7.56,50
0.042,UP,90.1703,19.8297,7.74,50
0.043,UP,90.1782,19.8218,7.92,50
0.044,UP,90.1863,19.8137,8.1,50
0.045,UP,90.1946,19.8054,8.28,50
0.046,UP,90.203,19.797,8.46,50
0.047,UP,90.2117,19.7883,8.64,50
0.048,UP,90.2205,19.7795,8.82,50
0.049,UP,90.2295,19.7705,9,50
0.05,UP,90.2387,19.7613,9.18,50
0.051,UP,90.248,19.752,9.36,50
0.052,UP,90.2576,19.7424,9.54,50
0.053,UP,90.2673,19.7327,9.72,50
0.054,UP,90.2772,19.7228,9.9,50
0.055,UP,90.2873,19.7127,10.08,50
0.056,UP,90.2975,19.7025,10.26,50
0.057,UP,90.308,19.692,10.44,50
0.058,UP,90.3186,19.6814,10.62,50
0.059,UP,90.3294,19.6706,10.8,50
0.06,UP,90.3404,19.6596,10.98,50
0.061,UP,90.3515,19.6485,11.16,50
0.062,UP,90.3629,19.6371,11.34,50
0.063,UP,90.3744,19.6256,11.52,50
0.064,UP,90.3861,19.6139,11.7,50
0.065,UP,90.398,19.602,11.88,50
0.066,UP,90.41,19.59,12.06,50
0.067,UP,90.4223,19.5777,12.24,50
