Time,Step,TCP_Z,P_Err,V_Norm,J1_P,J1_V,J1_A,J2_P,J2_V,J2_A,J3_P,J3_V,J3_A,J4_P,J4_V,J4_A,J5_P,J5_V,J5_A,J6_P,J6_V,J6_A,Kp
0,UP,0.6515,0.1,0,0,0,0,0,0,0,90,0,0,0,0,0,90,0,0,0,0,0,500
0.001,UP,0.6515,0.1,0,0,0,0,0,0,0,90,0,0,0,0,0,90,0,0,0,0,0,500
0.002,UP,0.6515,0.1,0,0,0,0,0,0,0,90,0,0,0,0,0,90,0,0,0,0,0,500
0.003,UP,0.6515,0.1,0,0,0,0,0,0,0,90,0,0,0,0,0,90,0,0,0,0,0,500
0.004,UP,0.6515,0.1,0,0,0,0,0,0,0,90,0,0,0,0,0,90,0,0,0,0,0,500
0.005,UP,0.6515,0.1,0,0,0,0,0,0,0,90,0,0,0,0,0,90,0,0,0,0,0,500
0.006,UP,0.6515,0.1,0,0,0,0,0,0,0,90,0,0,0,0,0,90,0,0,0,0,0,500
0.007,UP,0.6515,0.1,0,0,0,0,0,0,0,90,0,0,0,0,0,90,0,0,0,0,0,500
0.008,UP,0.6515,0.1,0,0,0,0,0,0,0,90,0,0,0,0,0,90,0,0,0,0,0,500
0.009,UP,0.6515,0.1,0,0,0,0,0,0,0,90,0,0,0,0,0,90,0,0,0,0,0,500
0.01,UP,0.6515,0.1,0,0,0,0,0,0,0,90,0,0,0,0,0,90,0,0,0,0,0,500
0.011,UP,0.6515,0.1,0,0,0,0,0,0,0,90,0,0,0,0,0,90,0,0,0,0,0,500
0.012,UP,0.6515,0.1,0,0,0,0,0,0,0,90,0,0,0,0,0,90,0,0,0,0,0,500
0.013,UP,0.6515,0.1,0,0,0,0,0,0,0,90,0,0,0,0,0,90,0,0,0,0,0,500
0.014,UP,0.6515,0.1,0,0,0,0,0,0,0,90,0,0,0,0,0,90,0,0,0,0,0,500
0.015,UP,0.6515,0.1,0,0,0,0,0,0,0,90,0,0,0,0,0,90,0,0,0,0,0,500
0.016,UP,0.6515,0.1,0,0,0,0,0,0,0,90,0,0,0,0,0,90,0,0,0,0,0,500
0.017,UP,0.6515,0.1,0,0,0,0,0,0,0,90,0,0,0,0,0,90,0,0,0,0,0,500
0.018,UP,0.6515,0.1,0,0,0,0,0,0,0,90,0,0,0,0,0,90,0,0,0,0,0,500
0.019,UP,0.6515,0.1,0,0,0,0,0,0,0,90,0,0,0,0,0,90,0,0,0,0,0,500
0.02,UP,0.6515,0.1,0,0,0,0,0,0,0,90,0,0,0,0,0,90,0,0,0,0,0,500
0.021,UP,0.6515,0.1,0,0,0,0,0,0,0,90,0,0,0,0,0,90,0,0,0,0,0,500
0.022,UP,0.6515,0.1,0,0,0,0,0,0,0,90,0,0,0,0,0,90,0,0,0,0,0,500
0.023,UP,0.6515,0.1,0,0,0,0,0,0,0,90,0,0,0,0,0,90,0,0,0,0,0,500
0.024,UP,0.6515,0.1,0,0,0,0,0,0,0,90,0,0,0,0,0,90,0,0,0,0,0,500
0.025,UP,0.6515,0.1,0,0,0,0,0,0,0,90,0,0,0,0,0,90,0,0,0,0,0,500
0.026,UP,0.6515,0.1,0,0,0,0,0,0,0,90,0,0,0,0,0,90,0,0,0,0,0,500
0.027,UP,0.6515,0.1,0,0,0,0,0,0,0,90,0,0,0,0,0,90,0,0,0,0,0,500
0.028,UP,0.6515,0.1,0,0,0,0,0,0,0,90,0,0,0,0,0,90,0,0,0,0,0,500
0.029,UP,0.6515,0.1,0,0,0,0,0,0,0,90,0,0,0,0,0,90,0,0,0,0,0,500
0.03,UP,0.6515,0.1,0,0,0,0,0,0,0,90,0,0,0,0,0,90,0,0,0,0,0,500
0.031,UP,0.6515,0.1,0,0,0,0,0,0,0,90,0,0,0,0,0,90,0,0,0,0,0,500
0.032,UP,0.6515,0.1,0,0,0,0,0,0,0,90,0,0,0,0,0,90,0,0,0,0,0,500
0.033,UP,0.6515,0.1,0,0,0,0,0,0,0,90,0,0,0,0,0,90,0,0,0,0,0,500
