Time,Step,X,Y,Z,Goal_X,Goal_Y,Goal_Z,P_Err,R_Err,Reached
0.000000,1,0.077866,0.034500,0.986179,0.227866,0.034500,1.086179,0.180278,0.000000,0
0.001000,1,0.077866,0.034500,0.986179,0.227866,0.034500,1.086179,0.180278,0.000000,0
0.002000,1,0.077866,0.034500,0.986179,0.227866,0.034500,1.086179,0.180278,0.000000,0
0.003000,1,0.077866,0.034500,0.986179,0.227866,0.034500,1.086179,0.180278,0.000000,0
0.004000,1,0.077866,0.034500,0.986179,0.227866,0.034500,1.086179,0.180278,0.000000,0
0.005000,1,0.077866,0.034500,0.986179,0.227866,0.034500,1.086179,0.180278,0.000000,0
0.006000,1,0.077866,0.034500,0.986179,0.227866,0.034500,1.086179,0.180278,0.000000,0
0.007000,1,0.077866,0.034500,0.986179,0.227866,0.034500,1.086179,0.180278,0.000000,0
0.008000,1,0.077867,0.034500,0.986179,0.227866,0.034500,1.086179,0.180278,0.000000,0
0.009000,1,0.077867,0.034500,0.986179,0.227866,0.034500,1.086179,0.180278,0.000000,0
0.010000,1,0.077867,0.034500,0.986179,0.227866,0.034500,1.086179,0.180278,0.000000,0
0.011000,1,0.077867,0.034500,0.986179,0.227866,0.034500,1.086179,0.180277,0.000000,0
0.012000,1,0.077867,0.034500,0.986179,0.227866,0.034500,1.086179,0.180277,0.000000,0
0.013000,1,0.077867,0.034500,0.986179,0.227866,0.034500,1.086179,0.180277,0.000000,0
0.014000,1,0.077867,0.034500,0.986179,0.227866,0.034500,1.086179,0.180277,0.000000,0
0.015000,1,0.077867,0.034500,0.986179,0.227866,0.034500,1.086179,0.180277,0.000000,0
0.016000,1,0.077867,0.034500,0.986179,0.227866,0.034500,1.086179,0.180277,0.000000,0
0.017000,1,0.077867,0.034500,0.986179,0.227866,0.034500,1.086179,0.180277,0.000000,0
0.018000,1,0.077867,0.034500,0.986179,0.227866,0.034500,1.086179,0.180277,0.000000,0
0.019000,1,0.077867,0.034500,0.986179,0.227866,0.034500,1.086179,0.180277,0.000000,0
0.020000,1,0.077867,0.034500,0.986179,0.227866,0.034500,1.086179,0.180277,0.000000,0
0.021000,1,0.077867,0.034500,0.986179,0.227866,0.034500,1.086179,0.180277,0.000000,0
0.022000,1,0.077867,0.034500,0.986180,0.227866,0.034500,1.086179,0.180276,0.000000,0
0.023000,1,0.077868,0.034500,0.986180,0.227866,0.034500,1.086179,0.180276,0.000000,0
0.024000,1,0.077868,0.034500,0.986180,0.227866,0.034500,1.086179,0.180276,0.000000,0
0.025000,1,0.077868,0.034500,0.986180,0.227866,0.034500,1.086179,0.180276,0.000000,0
0.026000,1,0.077868,0.034500,0.986180,0.227866,0.034500,1.086179,0.180275,0.000000,0
0.027000,1,0.077869,0.034500,0.986180,0.227866,0.034500,1.086179,0.180275,0.000000,0
0.028000,1,0.077869,0.034500,0.986181,0.227866,0.034500,1.086179,0.180275,0.000000,0
0.029000,1,0.077869,0.034500,0.986181,0.227866,0.034500,1.086179,0.180274,0.000000,0
0.030000,1,0.077870,0.034500,0.986181,0.227866,0.034500,1.086179,0.180274,0.000000,0
0.031000,1,0.077870,0.034500,0.986181,0.227866,0.034500,1.086179,0.180273,0.000000,0
0.032000,1,0.077871,0.034500,0.986182,0.227866,0.034500,1.086179,0.180273,0.000000,0
0.033000,1,0.077871,0.034500,0.986182,0.227866,0.034500,1.086179,0.180272,0.000000,0
0.034000,1,0.077872,0.034500,0.986182,0.227866,0.034500,1.086179,0.180271,0.000000,0
0.035000,1,0.077872,0.034500,0.986183,0.227866,0.034500,1.086179,0.180271,0.000000,0
0.036000,1,0.077873,0.034500,0.986183,0.227866,0.034500,1.086179,0.180270,0.000000,0
0.037000,1,0.077874,0.034500,0.986184,0.227866,0.034500,1.086179,0.180269,0.000000,0
0.038000,1,0.077874,0.034500,0.986184,0.227866,0.034500,1.086179,0.180268,0.000000,0
0.039000,1,0.077875,0.034500,0.986185,0.227866,0.034500,1.086179,0.180267,0.000000,0
0.040000,1,0.077876,0.034500,0.986185,0.227866,0.034500,1.086179,0.180266,0.000000,0
0.041000,1,0.077877,0.034500,0.986186,0.227866,0.034500,1.086179,0.180265,0.000000,0
0.042000,1,0.077878,0.034500,0.986187,0.227866,0.034500,1.086179,0.180263,0.000000,0
0.043000,1,0.077879,0.034500,0.986187,0.227866,0.034500,1.086179,0.180262,0.000000,0
0.044000,1,0.077880,0.034500,0.986188,0.227866,0.034500,1.086179,0.180261,0.000000,0
0.045000,1,0.077882,0.034500,0.986189,0.227866,0.034500,1.086179,0.180259,0.000000,0
0.046000,1,0.077883,0.034500,0.986190,0.227866,0.034500,1.086179,0.180258,0.000000,0
0.047000,1,0.077885,0.034500,0.986191,0.227866,0.034500,1.086179,0.180256,0.000000,0
0.048000,1,0.077886,0.034500,0.986192,0.227866,0.034500,1.086179,0.180254,0.000000,0
0.049000,1,0.077888,0.034500,0.986193,0.227866,0.034500,1.086179,0.180252,0.000000,0
0.050000,1,0.077889,0.034500,0.986194,0.227866,0.034500,1.086179,0.180250,0.000000,0
0.051000,1,0.077891,0.034500,0.986195,0.227866,0.034500,1.086179,0.180248,0.000000,0
0.052000,1,0.077893,0.034500,0.986197,0.227866,0.034500,1.086179,0.180246,0.000000,0
0.053000,1,0.077895,0.034500,0.986198,0.227866,0.034500,1.086179,0.180243,0.000000,0
0.054000,1,0.077897,0.034500,0.986199,0.227866,0.034500,1.086179,0.180241,0.000000,0
0.055000,1,0.077899,0.034500,0.986201,0.227866,0.034500,1.086179,0.180238,0.000000,0
0.056000,1,0.077902,0.034500,0.986202,0.227866,0.034500,1.086179,0.180235,0.000000,0
0.057000,1,0.077904,0.034500,0.986204,0.227866,0.034500,1.086179,0.180232,0.000000,0
0.058000,1,0.077907,0.034500,0.986206,0.227866,0.034500,1.086179,0.180229,0.000000,0
0.059000,1,0.077909,0.034500,0.986208,0.227866,0.034500,1.086179,0.180226,0.000000,0
0.060000,1,0.077912,0.034500,0.986210,0.227866,0.034500,1.086179,0.180222,0.000000,0
0.061000,1,0.077915,0.034500,0.986212,0.227866,0.034500,1.086179,0.180219,0.000000,0
0.062000,1,0.077918,0.034500,0.986214,0.227866,0.034500,1.086179,0.180215,0.000000,0
0.063000,1,0.077922,0.034500,0.986216,0.227866,0.034500,1.086179,0.180211,0.000000,0
0.064000,1,0.077925,0.034500,0.986218,0.227866,0.034500,1.086179,0.180207,0.000000,0
0.065000,1,0.077928,0.034500,0.986221,0.227866,0.034500,1.086179,0.180203,0.000000,0
0.066000,1,0.077932,0.034500,0.986223,0.227866,0.034500,1.086179,0.180198,0.000000,0
0.067000,1,0.077936,0.034500,0.986226,0.227866,0.034500,1.086179,0.180194,0.000000,0
0.068000,1,0.077940,0.034500,0.986228,0.227866,0.034500,1.086179,0.180189,0.000000,0
0.069000,1,0.077944,0.034500,0.986231,0.227866,0.034500,1.086179,0.180184,0.000000,0
