Time,Step,TCP_Z,P_Err,J3_Acc,Kp
0,UP,0.6515,0.1,0,100
0.001,UP,0.6515,0.1,0,100
0.002,UP,0.6515,0.1,0,100
0.003,UP,0.6515,0.1,0,100
0.004,UP,0.6515,0.1,0,100
0.005,UP,0.6515,0.1,0,100
0.006,UP,0.6515,0.1,0,100
0.007,UP,0.6515,0.1,0,100
0.008,UP,0.6515,0.1,0,100
0.009,UP,0.6515,0.1,0,100
0.01,UP,0.6515,0.1,0,100
0.011,UP,0.6515,0.1,0,100
0.012,UP,0.6515,0.1,0,100
0.013,UP,0.6515,0.1,0,100
0.014,UP,0.6515,0.1,0,100
0.015,UP,0.6515,0.1,0,100
0.016,UP,0.6515,0.1,0,100
0.017,UP,0.6515,0.1,0,100
0.018,UP,0.6515,0.1,0,100
0.019,UP,0.6515,0.1,0,100
0.02,UP,0.6515,0.1,0,100
0.021,UP,0.6515,0.1,0,100
0.022,UP,0.6515,0.1,0,100
0.023,UP,0.6515,0.1,0,100
0.024,UP,0.6515,0.1,0,100
0.025,UP,0.6515,0.1,0,100
0.026,UP,0.6515,0.1,0,100
0.027,UP,0.6515,0.1,0,100
0.028,UP,0.6515,0.1,0,100
0.029,UP,0.6515,0.1,0,100
0.03,UP,0.6515,0.1,0,100
0.031,UP,0.6515,0.1,0,100
0.032,UP,0.6515,0.1,0,100
0.033,UP,0.6515,0.1,0,100
0.034,UP,0.6515,0.1,0,100
0.035,UP,0.6515,0.1,0,100
0.036,UP,0.6515,0.1,0,100
0.037,UP,0.6515,0.1,0,100
0.038,UP,0.6515,0.1,0,100
0.039,UP,0.6515,0.1,0,100
0.04,UP,0.6515,0.1,0,100
0.041,UP,0.6515,0.1,0,100
0.042,UP,0.6515,0.1,0,100
0.043,UP,0.6515,0.1,0,100
0.044,UP,0.6515,0.1,0,100
0.045,UP,0.6515,0.1,0,100
0.046,UP,0.6515,0.1,0,100
0.047,UP,0.6515,0.1,0,100
0.048,UP,0.6515,0.1,0,100
0.049,UP,0.6515,0.1,0,100
0.05,UP,0.6515,0.1,-1.0445,100
0.051,UP,0.6515,0.1,-1.04409,100
0.052,UP,0.6515,0.0999999,-1.04369,100
0.053,UP,0.6515,0.0999999,-1.0433,100
0.054,UP,0.6515,0.0999998,-1.04291,100
0.055,UP,0.6515,0.0999998,-1.04254,100
0.056,UP,0.6515,0.0999997,-1.04217,100
0.057,UP,0.6515,0.0999996,-1.0418,100
0.058,UP,0.6515,0.0999995,-1.04145,100
0.059,UP,0.651501,0.0999994,-1.0411,100
0.06,UP,0.651501,0.0999993,-1.04076,100
0.061,UP,0.651501,0.0999992,-1.04042,100
0.062,UP,0.651501,0.0999991,-1.0401,100
0.063,UP,0.651501,0.0999989,-1.03977,100
0.064,UP,0.651501,0.0999988,-1.03946,100
0.065,UP,0.651501,0.0999986,-1.03915,100
0.066,UP,0.651502,0.0999984,-1.03885,100
0.067,UP,0.651502,0.0999983,-1.03855,100
0.068,UP,0.651502,0.0999981,-1.03826,100
0.069,UP,0.651502,0.0999979,-1.03798,100
0.07,UP,0.651502,0.0999977,-1.0377,100
0.071,UP,0.651503,0.0999974,-1.03743,100
0.072,UP,0.651503,0.0999972,-1.03716,100
0.073,UP,0.651503,0.099997,-1.0369,100
0.074,UP,0.651503,0.0999967,-1.03664,100
0.075,UP,0.651504,0.0999964,-1.03639,100
0.076,UP,0.651504,0.0999962,-1.03614,100
0.077,UP,0.651504,0.0999959,-1.0359,100
0.078,UP,0.651504,0.0999956,-1.03566,100
0.079,UP,0.651505,0.0999953,-1.03543,100
0.08,UP,0.651505,0.099995,-1.0352,100
0.081,UP,0.651505,0.0999946,-1.03498,100
0.082,UP,0.651506,0.0999943,-1.03476,100
0.083,UP,0.651506,0.099994,-1.03455,100
0.084,UP,0.651506,0.0999936,-1.03434,100
0.085,UP,0.651507,0.0999932,-1.03414,100
0.086,UP,0.651507,0.0999929,-1.03393,100
0.087,UP,0.651508,0.0999925,-1.03374,100
0.088,UP,0.651508,0.0999921,-1.03355,100
0.089,UP,0.651508,0.0999917,-1.03336,100
0.09,UP,0.651509,0.0999913,-1.03317,100
0.091,UP,0.651509,0.0999908,-1.03299,100
0.092,UP,0.65151,0.0999904,-1.03281,100
0.093,UP,0.65151,0.09999,-1.03264,100
0.094,UP,0.651511,0.0999895,-1.03247,100
0.095,UP,0.651511,0.099989,-1.0323,100
0.096,UP,0.651511,0.0999886,-1.03214,100
0.097,UP,0.651512,0.0999881,-1.03198,100
0.098,UP,0.651512,0.0999876,-1.03182,100
0.099,UP,0.651513,0.0999871,-1.03166,100
0.1,UP,0.651513,0.0999866,-1.03151,100
0.101,UP,0.651514,0.099986,-1.03137,100
0.102,UP,0.651515,0.0999855,-1.03122,100
0.103,UP,0.651515,0.0999849,-1.03108,100
0.104,UP,0.651516,0.0999844,-1.03094,100
0.105,UP,0.651516,0.0999838,-1.03081,100
0.106,UP,0.651517,0.0999832,-1.03067,100
0.107,UP,0.651517,0.0999827,-1.03054,100
0.108,UP,0.651518,0.0999821,-1.03041,100
0.109,UP,0.651519,0.0999815,-1.03029,100
0.11,UP,0.651519,0.0999808,-1.03017,100
0.111,UP,0.65152,0.0999802,-1.03005,100
0.112,UP,0.65152,0.0999796,-1.02993,100
0.113,UP,0.651521,0.0999789,-1.02981,100
0.114,UP,0.651522,0.0999783,-1.0297,100
0.115,UP,0.651522,0.0999776,-1.02959,100
0.116,UP,0.651523,0.0999769,-1.02948,100
0.117,UP,0.651524,0.0999762,-1.02938,100
0.118,UP,0.651524,0.0999755,-1.02927,100
0.119,UP,0.651525,0.0999748,-1.02917,100
0.12,UP,0.651526,0.0999741,-1.02907,100
0.121,UP,0.651527,0.0999734,-1.02898,100
0.122,UP,0.651527,0.0999727,-1.02888,100
0.123,UP,0.651528,0.0999719,-1.02879,100
0.124,UP,0.651529,0.0999712,-1.0287,100
0.125,UP,0.65153,0.0999704,-1.02861,100
0.126,UP,0.65153,0.0999696,-1.02852,100
0.127,UP,0.651531,0.0999688,-1.02843,100
0.128,UP,0.651532,0.099968,-1.02835,100
0.129,UP,0.651533,0.0999672,-1.02827,100
0.13,UP,0.651534,0.0999664,-1.02819,100
0.131,UP,0.651534,0.0999656,-1.02811,100
0.132,UP,0.651535,0.0999647,-1.02803,100
0.133,UP,0.651536,0.0999639,-1.02796,100
0.134,UP,0.651537,0.099963,-1.02788,100
0.135,UP,0.651538,0.0999622,-1.02781,100
0.136,UP,0.651539,0.0999613,-1.02774,100
0.137,UP,0.65154,0.0999604,-1.02767,100
0.138,UP,0.651541,0.0999595,-1.0276,100
0.139,UP,0.651541,0.0999586,-1.02754,100
0.14,UP,0.651542,0.0999577,-1.02747,100
0.141,UP,0.651543,0.0999567,-1.02741,100
0.142,UP,0.651544,0.0999558,-1.02735,100
0.143,UP,0.651545,0.0999549,-1.02729,100
0.144,UP,0.651546,0.0999539,-1.02723,100
0.145,UP,0.651547,0.0999529,-1.02717,100
0.146,UP,0.651548,0.099952,-1.02711,100
0.147,UP,0.651549,0.099951,-1.02706,100
0.148,UP,0.65155,0.09995,-1.027,100
0.149,UP,0.651551,0.099949,-1.02695,100
0.15,UP,0.651552,0.0999479,-1.0269,100
0.151,UP,0.651553,0.0999469,-1.02685,100
0.152,UP,0.651554,0.0999459,-1.0268,100
0.153,UP,0.651555,0.0999448,-1.02675,100
0.154,UP,0.651556,0.0999438,-1.0267,100
0.155,UP,0.651557,0.0999427,-1.02665,100
0.156,UP,0.651558,0.0999416,-1.02661,100
0.157,UP,0.651559,0.0999405,-1.02657,100
0.158,UP,0.651561,0.0999394,-1.02652,100
0.159,UP,0.651562,0.0999383,-1.02648,100
0.16,UP,0.651563,0.0999372,-1.02644,100
0.161,UP,0.651564,0.0999361,-1.0264,100
0.162,UP,0.651565,0.0999349,-1.02636,100
0.163,UP,0.651566,0.0999338,-1.02632,100
0.164,UP,0.651567,0.0999326,-1.02628,100
0.165,UP,0.651569,0.0999315,-1.02625,100
0.166,UP,0.65157,0.0999303,-1.02621,100
0.167,UP,0.651571,0.0999291,-1.02618,100
0.168,UP,0.651572,0.0999279,-1.02614,100
0.169,UP,0.651573,0.0999267,-1.02611,100
0.17,UP,0.651575,0.0999255,-1.02608,100
0.171,UP,0.651576,0.0999242,-1.02604,100
0.172,UP,0.651577,0.099923,-1.02601,100
0.173,UP,0.651578,0.0999218,-1.02598,100
0.174,UP,0.651579,0.0999205,-1.02595,100
0.175,UP,0.651581,0.0999192,-1.02592,100
0.176,UP,0.651582,0.099918,-1.0259,100
0.177,UP,0.651583,0.0999167,-1.02587,100
0.178,UP,0.651585,0.0999154,-1.02584,100
0.179,UP,0.651586,0.0999141,-1.02582,100
0.18,UP,0.651587,0.0999127,-1.02579,100
0.181,UP,0.651589,0.0999114,-1.02577,100
0.182,UP,0.65159,0.0999101,-1.02574,100
0.183,UP,0.651591,0.0999087,-1.02572,100
0.184,UP,0.651593,0.0999074,-1.0257,100
0.185,UP,0.651594,0.099906,-1.02567,100
0.186,UP,0.651595,0.0999046,-1.02565,100
0.187,UP,0.651597,0.0999032,-1.02563,100
0.188,UP,0.651598,0.0999018,-1.02561,100
0.189,UP,0.6516,0.0999004,-1.02559,100
0.19,UP,0.651601,0.099899,-1.02557,100
0.191,UP,0.651602,0.0998976,-1.02555,100
0.192,UP,0.651604,0.0998961,-1.02554,100
0.193,UP,0.651605,0.0998947,-1.02552,100
0.194,UP,0.651607,0.0998932,-1.0255,100
0.195,UP,0.651608,0.0998918,-1.02548,100
0.196,UP,0.65161,0.0998903,-1.02547,100
0.197,UP,0.651611,0.0998888,-1.02545,100
0.198,UP,0.651613,0.0998873,-1.02544,100
0.199,UP,0.651614,0.0998858,-1.02542,100
0.2,UP,0.651616,0.0998843,-1.02529,100
0.201,UP,0.651617,0.0998827,-1.02475,100
0.202,UP,0.651619,0.0998812,-1.02383,100
0.203,UP,0.65162,0.0998797,-1.02253,100
0.204,UP,0.651622,0.0998781,-1.02087,100
0.205,UP,0.651623,0.0998765,-1.01886,100
0.206,UP,0.651625,0.099875,-1.01653,100
0.207,UP,0.651627,0.0998734,-1.01388,100
0.208,UP,0.651628,0.0998718,-1.01093,100
0.209,UP,0.65163,0.0998702,-1.00769,100
0.21,UP,0.651631,0.0998685,-1.00418,100
0.211,UP,0.651633,0.0998669,-1.0004,100
0.212,UP,0.651635,0.0998653,-0.996365,100
0.213,UP,0.651636,0.0998636,-0.992094,100
0.214,UP,0.651638,0.099862,-0.987594,100
0.215,UP,0.65164,0.0998603,-0.982875,100
0.216,UP,0.651641,0.0998586,-0.97795,100
0.217,UP,0.651643,0.0998569,-0.972826,100
0.218,UP,0.651645,0.0998552,-0.967515,100
0.219,UP,0.651646,0.0998535,-0.962026,100
0.22,UP,0.651648,0.0998518,-0.956368,100
0.221,UP,0.65165,0.0998501,-0.950551,100
0.222,UP,0.651652,0.0998484,-0.944582,100
0.223,UP,0.651653,0.0998466,-0.93847,100
0.224,UP,0.651655,0.0998449,-0.932223,100
0.225,UP,0.651657,0.0998431,-0.92585,100
0.226,UP,0.651659,0.0998414,-0.919357,100
0.227,UP,0.65166,0.0998396,-0.912752,100
0.228,UP,0.651662,0.0998378,-0.906042,100
0.229,UP,0.651664,0.099836,-0.899234,100
0.23,UP,0.651666,0.0998342,-0.892335,100
0.231,UP,0.651668,0.0998324,-0.88535,100
0.232,UP,0.651669,0.0998306,-0.878286,100
0.233,UP,0.651671,0.0998287,-0.87115,100
0.234,UP,0.651673,0.0998269,-0.863946,100
0.235,UP,0.651675,0.0998251,-0.85668,100
0.236,UP,0.651677,0.0998232,-0.849357,100
0.237,UP,0.651679,0.0998213,-0.841984,100
