Time,Step,Q_Error,Exec_us,Reached
0.0000,1,217.3705,0.6840,0
0.0010,1,217.3699,0.3490,0
0.0020,1,217.3689,0.2790,0
0.0030,1,217.3675,0.2550,0
0.0040,1,217.3657,0.2550,0
0.0050,1,217.3635,0.2580,0
0.0060,1,217.3609,0.2570,0
0.0070,1,217.3580,0.2560,0
0.0080,1,217.3546,0.2550,0
0.0090,1,217.3508,0.2580,0
0.0100,1,217.3467,0.2590,0
0.0110,1,217.3421,0.2580,0
0.0120,1,217.3372,0.2580,0
0.0130,1,217.3318,0.2550,0
0.0140,1,217.3261,0.2580,0
0.0150,1,217.3199,0.2550,0
0.0160,1,217.3134,0.2580,0
0.0170,1,217.3064,0.2550,0
0.0180,1,217.2991,0.2630,0
0.0190,1,217.2914,0.2590,0
0.0200,1,217.2832,0.2560,0
0.0210,1,217.2747,0.2550,0
0.0220,1,217.2658,0.2590,0
0.0230,1,217.2565,0.2560,0
0.0240,1,217.2468,0.2570,0
0.0250,1,217.2367,0.2550,0
0.0260,1,217.2262,0.2580,0
0.0270,1,217.2153,0.2580,0
0.0280,1,217.2040,0.2570,0
0.0290,1,217.1923,0.2550,0
0.0300,1,217.1802,0.2580,0
0.0310,1,217.1677,0.2540,0
0.0320,1,217.1548,0.2590,0
0.0330,1,217.1416,0.2550,0
0.0340,1,217.1279,0.2620,0
0.0350,1,217.1138,0.2540,0
0.0360,1,217.0994,0.2550,0
0.0370,1,217.0845,0.2540,0
0.0380,1,217.0693,0.2560,0
0.0390,1,217.0536,0.2540,0
0.0400,1,217.0376,0.2560,0
0.0410,1,217.0211,0.2530,0
0.0420,1,217.0043,0.2570,0
0.0430,1,216.9870,0.2620,0
0.0440,1,216.9694,0.2580,0
0.0450,1,216.9514,0.2550,0
0.0460,1,216.9330,0.2550,0
0.0470,1,216.9142,0.2570,0
0.0480,1,216.8950,0.2560,0
0.0490,1,216.8754,0.2560,0
0.0500,1,216.8554,0.2550,0
0.0510,1,216.8350,0.2570,0
0.0520,1,216.8142,0.2580,0
0.0530,1,216.7930,0.2590,0
0.0540,1,216.7714,0.2550,0
0.0550,1,216.7494,0.2580,0
0.0560,1,216.7271,0.2560,0
0.0570,1,216.7043,0.2560,0
0.0580,1,216.6811,0.2560,0
0.0590,1,216.6576,0.2580,0
0.0600,1,216.6336,0.2560,0
0.0610,1,216.6093,0.2560,0
0.0620,1,216.5845,0.2560,0
0.0630,1,216.5594,0.2580,0
0.0640,1,216.5339,0.2600,0
0.0650,1,216.5080,0.2940,0
0.0660,1,216.4817,0.2590,0
0.0670,1,216.4549,0.2590,0
0.0680,1,216.4278,0.2570,0
0.0690,1,216.4003,0.2600,0
0.0700,1,216.3724,0.2610,0
0.0710,1,216.3442,0.2590,0
0.0720,1,216.3155,0.2560,0
0.0730,1,216.2864,0.2590,0
0.0740,1,216.2569,0.2600,0
0.0750,1,216.2271,0.2830,0
0.0760,1,216.1968,0.2580,0
0.0770,1,216.1662,0.2560,0
0.0780,1,216.1352,0.2610,0
0.0790,1,216.1038,0.2570,0
0.0800,1,216.0720,0.2760,0
0.0810,1,216.0398,0.2670,0
0.0820,1,216.0073,0.2640,0
0.0830,1,215.9745,0.2540,0
0.0840,1,215.9413,0.2550,0
0.0850,1,215.9077,0.2550,0
0.0860,1,215.8738,0.2540,0
0.0870,1,215.8395,0.2540,0
0.0880,1,215.8049,0.2540,0
0.0890,1,215.7699,0.2560,0
0.0900,1,215.7345,0.2540,0
0.0910,1,215.6988,0.2570,0
0.0920,1,215.6628,0.2540,0
0.0930,1,215.6264,0.2540,0
0.0940,1,215.5896,0.2540,0
0.0950,1,215.5525,0.2550,0
0.0960,1,215.5151,0.2560,0
0.0970,1,215.4772,0.2540,0
0.0980,1,215.4391,0.2540,0
0.0990,1,215.4005,0.2560,0
0.1000,1,215.3617,0.2550,0
0.1010,1,215.3224,0.2550,0
0.1020,1,215.2828,0.2540,0
0.1030,1,215.2429,0.2550,0
0.1040,1,215.2026,0.2550,0
0.1050,1,215.1619,0.2560,0
0.1060,1,215.1209,0.2540,0
0.1070,1,215.0796,0.2540,0
0.1080,1,215.0378,0.2970,0
0.1090,1,214.9958,0.2580,0
0.1100,1,214.9534,0.3370,0
0.1110,1,214.9106,0.2550,0
0.1120,1,214.8674,0.2560,0
0.1130,1,214.8240,0.2560,0
0.1140,1,214.7801,0.2540,0
