Time,Step,J1_Pos,J2_Pos,J3_Pos,J4_Pos,J5_Pos,J6_Pos,Q_Error,Reached
0.0000,1,0.0001,0.0001,-0.0001,0.0001,-0.0001,0.0001,217.3705,0
0.0010,1,0.0002,0.0002,-0.0004,0.0005,-0.0005,0.0005,217.3699,0
0.0020,1,0.0005,0.0005,-0.0008,0.0010,-0.0010,0.0011,217.3689,0
0.0030,1,0.0010,0.0010,-0.0014,0.0018,-0.0018,0.0020,217.3675,0
0.0040,1,0.0015,0.0015,-0.0023,0.0028,-0.0028,0.0032,217.3657,0
0.0050,1,0.0022,0.0022,-0.0032,0.0041,-0.0041,0.0046,217.3635,0
0.0060,1,0.0029,0.0029,-0.0044,0.0055,-0.0055,0.0062,217.3609,0
0.0070,1,0.0038,0.0038,-0.0058,0.0072,-0.0072,0.0082,217.3580,0
0.0080,1,0.0049,0.0049,-0.0073,0.0091,-0.0091,0.0103,217.3546,0
0.0090,1,0.0060,0.0060,-0.0090,0.0113,-0.0113,0.0128,217.3508,0
0.0100,1,0.0073,0.0073,-0.0109,0.0136,-0.0136,0.0154,217.3467,0
0.0110,1,0.0086,0.0086,-0.0130,0.0162,-0.0162,0.0184,217.3421,0
0.0120,1,0.0101,0.0101,-0.0152,0.0190,-0.0190,0.0215,217.3372,0
0.0130,1,0.0118,0.0118,-0.0176,0.0221,-0.0221,0.0250,217.3318,0
0.0140,1,0.0135,0.0134,-0.0203,0.0253,-0.0253,0.0287,217.3261,0
0.0150,1,0.0154,0.0151,-0.0230,0.0286,-0.0288,0.0326,217.3200,0
0.0160,1,0.0173,0.0167,-0.0260,0.0319,-0.0325,0.0368,217.3135,0
0.0170,1,0.0194,0.0184,-0.0292,0.0352,-0.0365,0.0413,217.3067,0
0.0180,1,0.0217,0.0200,-0.0325,0.0385,-0.0406,0.0460,217.2995,0
0.0190,1,0.0240,0.0217,-0.0360,0.0418,-0.0450,0.0510,217.2920,0
0.0200,1,0.0265,0.0233,-0.0397,0.0452,-0.0496,0.0562,217.2841,0
0.0210,1,0.0290,0.0250,-0.0436,0.0485,-0.0545,0.0617,217.2758,0
0.0220,1,0.0317,0.0266,-0.0476,0.0518,-0.0594,0.0674,217.2672,0
0.0230,1,0.0346,0.0283,-0.0518,0.0551,-0.0644,0.0734,217.2583,0
0.0240,1,0.0375,0.0299,-0.0563,0.0584,-0.0693,0.0797,217.2491,0
0.0250,1,0.0406,0.0316,-0.0608,0.0617,-0.0743,0.0862,217.2396,0
0.0260,1,0.0437,0.0333,-0.0656,0.0650,-0.0793,0.0929,217.2298,0
