Time,Step,Target_Info,Actual_J1,Actual_J2,Actual_J3,Actual_J4,Actual_J5,Actual_J6,Q_Error,Exec_us
0.0000,0,Initialize,0.0019,-0.0020,60.0209,-0.0115,30.0015,0.0002,0.0000,0.0390
0.0010,0,Initialize,0.0019,-0.0020,60.0209,-0.0115,30.0015,0.0002,0.0001,0.0530
0.0020,0,Initialize,0.0019,-0.0020,60.0209,-0.0115,30.0015,0.0002,0.0006,0.0550
0.0030,0,Initialize,0.0019,-0.0020,60.0209,-0.0115,30.0015,0.0002,0.0013,0.0750
0.0040,0,Initialize,0.0019,-0.0020,60.0209,-0.0115,30.0015,0.0002,0.0023,0.0540
0.0050,0,Initialize,0.0019,-0.0020,60.0210,-0.0115,30.0015,0.0002,0.0036,0.0740
0.0060,0,Initialize,0.0019,-0.0020,60.0210,-0.0115,30.0015,0.0002,0.0052,0.0850
0.0070,0,Initialize,0.0019,-0.0020,60.0210,-0.0115,30.0015,0.0002,0.0071,0.0530
0.0080,0,Initialize,0.0019,-0.0020,60.0210,-0.0115,30.0015,0.0002,0.0092,0.0540
0.0090,0,Initialize,0.0019,-0.0020,60.0210,-0.0115,30.0015,0.0002,0.0117,0.1240
0.0100,0,Initialize,0.0019,-0.0020,60.0210,-0.0115,30.0015,0.0002,0.0144,0.0290
0.0110,0,Initialize,0.0019,-0.0020,60.0210,-0.0115,30.0015,0.0002,0.0174,0.0540
0.0120,0,Initialize,0.0019,-0.0020,60.0210,-0.0115,30.0015,0.0002,0.0207,0.0530
0.0130,0,Initialize,0.0019,-0.0022,60.0211,-0.0115,30.0015,0.0002,0.0244,0.0790
0.0140,0,Initialize,0.0019,-0.0022,60.0211,-0.0115,30.0015,0.0002,0.0283,0.1270
0.0150,0,Initialize,0.0019,-0.0023,60.0211,-0.0115,30.0015,0.0002,0.0325,0.0670
0.0160,0,Initialize,0.0019,-0.0023,60.0211,-0.0115,30.0015,0.0002,0.0370,0.0540
0.0170,0,Initialize,0.0019,-0.0023,60.0211,-0.0115,30.0015,0.0002,0.0417,0.0530
0.0180,0,Initialize,0.0019,-0.0023,60.0211,-0.0115,30.0015,0.0002,0.0468,0.1850
0.0190,0,Initialize,0.0019,-0.0022,60.0209,-0.0115,30.0015,0.0002,0.0520,0.1160
0.0200,0,Initialize,0.0019,-0.0022,60.0209,-0.0115,30.0015,0.0002,0.0576,0.0560
0.0210,0,Initialize,0.0019,-0.0022,60.0208,-0.0115,30.0015,0.0002,0.0635,0.0510
0.0220,0,Initialize,0.0019,-0.0022,60.0208,-0.0115,30.0013,0.0002,0.0695,0.0510
0.0230,0,Initialize,0.0019,-0.0022,60.0207,-0.0115,30.0012,0.0002,0.0758,0.3360
0.0240,0,Initialize,0.0019,-0.0022,60.0205,-0.0115,30.0010,0.0002,0.0823,0.0530
0.0250,0,Initialize,0.0019,-0.0022,60.0203,-0.0115,30.0009,0.0002,0.0892,0.0510
0.0260,0,Initialize,0.0019,-0.0022,60.0197,-0.0115,30.0006,0.0002,0.0960,0.0530
0.0270,0,Initialize,0.0019,-0.0021,60.0193,-0.0115,30.0004,0.0002,0.1032,0.0520
0.0280,0,Initialize,0.0019,-0.0021,60.0188,-0.0115,30.0000,0.0002,0.1105,0.0510
0.0290,0,Initialize,0.0019,-0.0021,60.0181,-0.0115,29.9996,0.0002,0.1179,0.0490
0.0300,0,Initialize,0.0019,-0.0021,60.0173,-0.0115,29.9988,0.0002,0.1253,0.0520
0.0310,0,Initialize,0.0019,-0.0022,60.0163,-0.0115,29.9978,0.0002,0.1327,0.0500
0.0320,0,Initialize,0.0019,-0.0022,60.0154,-0.0115,29.9964,0.0002,0.1401,0.0500
0.0330,0,Initialize,0.0019,-0.0022,60.0143,-0.0115,29.9950,0.0002,0.1477,0.0530
0.0340,0,Initialize,0.0019,-0.0022,60.0131,-0.0115,29.9930,0.0002,0.1551,0.0530
0.0350,0,Initialize,0.0019,-0.0022,60.0118,-0.0115,29.9910,0.0002,0.1626,0.0510
0.0360,0,Initialize,0.0019,-0.0021,60.0104,-0.0115,29.9885,0.0002,0.1699,0.0510
0.0370,0,Initialize,0.0019,-0.0021,60.0088,-0.0115,29.9858,0.0002,0.1774,0.0500
0.0380,0,Initialize,0.0019,-0.0021,60.0070,-0.0115,29.9827,0.0002,0.1847,0.0500
0.0390,0,Initialize,0.0019,-0.0021,60.0053,-0.0115,29.9791,0.0002,0.1919,0.0530
0.0400,0,Initialize,0.0019,-0.0021,60.0031,-0.0115,29.9753,0.0002,0.1989,0.0510
0.0410,0,Initialize,0.0019,-0.0021,60.0009,-0.0115,29.9713,0.0002,0.2061,0.0530
0.0420,0,Initialize,0.0019,-0.0020,59.9983,-0.0115,29.9668,0.0002,0.2130,0.0530
0.0430,0,Initialize,0.0019,-0.0020,59.9954,-0.0115,29.9623,0.0002,0.2199,0.0510
0.0440,0,Initialize,0.0019,-0.0020,59.9923,-0.0115,29.9572,0.0002,0.2265,0.0510
0.0450,0,Initialize,0.0019,-0.0020,59.9891,-0.0115,29.9520,0.0002,0.2333,0.0540
0.0460,0,Initialize,0.0019,-0.0018,59.9857,-0.0115,29.9464,0.0002,0.2399,0.0530
0.0470,0,Initialize,0.0019,-0.0017,59.9819,-0.0115,29.9405,0.0002,0.2464,0.0520
0.0480,0,Initialize,0.0019,-0.0017,59.9819,-0.0115,29.9405,0.0002,0.2600,0.0310
0.0490,0,Initialize,0.0019,-0.0017,59.9781,-0.0115,29.9343,0.0002,0.2668,0.0500
0.0500,0,Initialize,0.0019,-0.0016,59.9740,-0.0115,29.9278,0.0002,0.2734,0.0500
0.0510,0,Initialize,0.0019,-0.0015,59.9696,-0.0115,29.9211,0.0002,0.2800,0.0510
0.0520,0,Initialize,0.0019,-0.0014,59.9651,-0.0115,29.9140,0.0002,0.2866,0.0500
0.0530,0,Initialize,0.0019,-0.0013,59.9604,-0.0115,29.9067,0.0002,0.2932,0.0510
0.0540,0,Initialize,0.0019,-0.0012,59.9556,-0.0115,29.8992,0.0002,0.2997,0.0500
0.0550,0,Initialize,0.0019,-0.0008,59.9455,-0.0115,29.8832,0.0002,0.2967,0.0510
0.0560,0,Initialize,0.0019,-0.0006,59.9402,-0.0115,29.8748,0.0002,0.3028,0.1380
0.0570,0,Initialize,0.0019,-0.0005,59.9347,-0.0115,29.8660,0.0002,0.3089,0.2730
0.0580,0,Initialize,0.0019,-0.0002,59.9290,-0.0115,29.8570,0.0002,0.3150,0.0750
0.0590,0,Initialize,0.0019,-0.0001,59.9230,-0.0115,29.8477,0.0002,0.3208,0.0550
0.0600,0,Initialize,0.0019,0.0001,59.9168,-0.0115,29.8381,0.0002,0.3267,0.1090
0.0610,0,Initialize,0.0019,0.0002,59.9103,-0.0115,29.8284,0.0002,0.3325,0.0630
0.0620,0,Initialize,0.0019,0.0005,59.9034,-0.0115,29.8185,0.0002,0.3383,0.0760
0.0630,0,Initialize,0.0019,0.0006,59.8961,-0.0115,29.8082,0.0002,0.3436,0.0930
0.0640,0,Initialize,0.0019,0.0008,59.8885,-0.0116,29.7975,0.0002,0.3489,0.0700
0.0650,0,Initialize,0.0019,0.0011,59.8805,-0.0116,29.7867,0.0002,0.3541,0.0540
0.0660,0,Initialize,0.0019,0.0013,59.8725,-0.0116,29.7757,0.0002,0.3594,0.0930
0.0670,0,Initialize,0.0019,0.0015,59.8641,-0.0116,29.7643,0.0002,0.3645,0.0660
0.0680,0,Initialize,0.0019,0.0018,59.8556,-0.0116,29.7531,0.0002,0.3699,0.0560
0.0690,0,Initialize,0.0019,0.0020,59.8470,-0.0116,29.7417,0.0002,0.3753,0.0960
0.0700,0,Initialize,0.0019,0.0021,59.8385,-0.0116,29.7300,0.0002,0.3809,0.0590
0.0710,0,Initialize,0.0019,0.0023,59.8297,-0.0116,29.7179,0.0002,0.3863,0.0550
0.0720,0,Initialize,0.0019,0.0026,59.8209,-0.0116,29.7054,0.0002,0.3918,0.1120
0.0730,0,Initialize,0.0019,0.0029,59.8119,-0.0116,29.6927,0.0002,0.3972,0.0640
0.0740,0,Initialize,0.0019,0.0032,59.8024,-0.0116,29.6798,0.0002,0.4024,0.0500
0.0750,0,Initialize,0.0019,0.0034,59.7928,-0.0116,29.6666,0.0002,0.4076,0.1020
0.0760,0,Initialize,0.0019,0.0036,59.7830,-0.0116,29.6535,0.0002,0.4130,0.0630
0.0770,0,Initialize,0.0019,0.0038,59.7729,-0.0116,29.6401,0.0002,0.4184,0.0540
0.0780,0,Initialize,0.0019,0.0040,59.7627,-0.0116,29.6265,0.0002,0.4237,0.1070
0.0790,0,Initialize,0.0019,0.0042,59.7522,-0.0116,29.6125,0.0002,0.4288,0.0640
0.0800,0,Initialize,0.0019,0.0044,59.7416,-0.0116,29.5981,0.0002,0.4339,0.0530
0.0810,0,Initialize,0.0019,0.0047,59.7308,-0.0116,29.5833,0.0002,0.4389,0.1080
0.0820,0,Initialize,0.0019,0.0047,59.7308,-0.0116,29.5833,0.0002,0.4623,0.0500
0.0830,0,Initialize,0.0019,0.0051,59.7085,-0.0116,29.5531,0.0002,0.4487,0.0900
0.0840,0,Initialize,0.0019,0.0052,59.6971,-0.0116,29.5377,0.0002,0.4536,0.0640
0.0850,0,Initialize,0.0019,0.0054,59.6853,-0.0116,29.5223,0.0002,0.4587,0.1630
0.0860,0,Initialize,0.0019,0.0055,59.6735,-0.0116,29.5068,0.0002,0.4638,0.0700
0.0870,0,Initialize,0.0019,0.0057,59.6611,-0.0116,29.4908,0.0002,0.4685,0.0980
0.0880,0,Initialize,0.0019,0.0059,59.6489,-0.0116,29.4744,0.0002,0.4733,0.0610
0.0890,0,Initialize,0.0019,0.0060,59.6364,-0.0116,29.4578,0.0002,0.4781,0.0550
0.0900,0,Initialize,0.0019,0.0063,59.6237,-0.0116,29.4409,0.0002,0.4828,0.1020
0.0910,0,Initialize,0.0019,0.0064,59.6108,-0.0116,29.4239,0.0002,0.4875,0.0640
0.0920,0,Initialize,0.0019,0.0065,59.5978,-0.0116,29.4067,0.0002,0.4925,0.0530
0.0930,0,Initialize,0.0019,0.0066,59.5844,-0.0116,29.3894,0.0002,0.4972,0.1050
0.0940,0,Initialize,0.0019,0.0068,59.5709,-0.0116,29.3718,0.0002,0.5020,0.0630
0.0950,0,Initialize,0.0019,0.0068,59.5572,-0.0116,29.3540,0.0002,0.5068,0.0910
0.0960,0,Initialize,0.0019,0.0069,59.5432,-0.0116,29.3362,0.0002,0.5117,0.0620
0.0970,0,Initialize,0.0019,0.0071,59.5291,-0.0116,29.3182,0.0002,0.5166,0.0560
0.0980,0,Initialize,0.0019,0.0072,59.5149,-0.0116,29.3000,0.0002,0.5216,0.0750
0.0990,0,Initialize,0.0019,0.0072,59.5005,-0.0115,29.2816,0.0002,0.5267,0.1000
0.1000,0,Initialize,0.0019,0.0073,59.4858,-0.0115,29.2630,0.0002,0.5316,0.0620
0.1010,0,Initialize,0.0019,0.0074,59.4707,-0.0115,29.2443,0.0002,0.5365,0.0750
0.1020,0,Initialize,0.0019,0.0074,59.4554,-0.0115,29.2252,0.0002,0.5413,0.0650
0.1030,0,Initialize,0.0019,0.0074,59.4400,-0.0115,29.2060,0.0002,0.5461,0.0550
0.1040,0,Initialize,0.0019,0.0075,59.4244,-0.0115,29.1863,0.0002,0.5509,0.0770
0.1050,0,Initialize,0.0019,0.0076,59.4088,-0.0115,29.1662,0.0002,0.5555,0.0900
0.1060,0,Initialize,0.0019,0.0076,59.3928,-0.0115,29.1459,0.0002,0.5601,0.0630
0.1070,0,Initialize,0.0019,0.0077,59.3764,-0.0115,29.1256,0.0002,0.5647,0.0540
0.1080,0,Initialize,0.0019,0.0077,59.3434,-0.0115,29.0843,0.0002,0.5428,0.1080
0.1090,0,Initialize,0.0019,0.0077,59.3265,-0.0115,29.0633,0.0002,0.5471,0.0650
0.1100,0,Initialize,0.0019,0.0077,59.3095,-0.0115,29.0420,0.0002,0.5514,0.0670
0.1110,0,Initialize,0.0019,0.0077,59.2921,-0.0115,29.0205,0.0002,0.5555,0.1350
0.1120,0,Initialize,0.0019,0.0077,59.2743,-0.0115,28.9990,0.0002,0.5597,0.0610
0.1130,0,Initialize,0.0019,0.0077,59.2563,-0.0115,28.9774,0.0002,0.5640,0.0530
0.1140,0,Initialize,0.0019,0.0077,59.2563,-0.0115,28.9774,0.0002,0.5966,0.0470
0.1150,0,Initialize,0.0019,0.0077,59.2381,-0.0115,28.9552,0.0002,0.6009,0.0530
0.1160,0,Initialize,0.0019,0.0076,59.2198,-0.0115,28.9329,0.0002,0.6052,0.1040
0.1170,0,Initialize,0.0019,0.0076,59.2011,-0.0115,28.9105,0.0002,0.6096,0.0530
0.1180,0,Initialize,0.0019,0.0076,59.1825,-0.0115,28.8880,0.0002,0.6143,0.0520
0.1190,0,Initialize,0.0019,0.0075,59.1636,-0.0115,28.8652,0.0002,0.6187,0.0600
0.1200,0,Initialize,0.0019,0.0075,59.1445,-0.0115,28.8420,0.0002,0.6230,0.1140
0.1210,0,Initialize,0.0019,0.0074,59.1251,-0.0115,28.8186,0.0002,0.6273,0.1020
0.1220,0,Initialize,0.0019,0.0074,59.1056,-0.0115,28.7952,0.0002,0.6319,0.9940
0.1230,0,Initialize,0.0019,0.0074,59.0859,-0.0115,28.7714,0.0002,0.6362,0.0550
0.1240,0,Initialize,0.0019,0.0073,59.0659,-0.0115,28.7471,0.0002,0.6403,0.0560
0.1250,0,Initialize,0.0019,0.0072,59.0458,-0.0115,28.7227,0.0002,0.6445,0.1430
0.1260,0,Initialize,0.0019,0.0071,59.0254,-0.0114,28.6981,0.0002,0.6487,0.0620
0.1270,0,Initialize,0.0019,0.0070,58.9845,-0.0114,28.6482,0.0002,0.6206,0.0540
0.1280,0,Initialize,0.0019,0.0068,58.9636,-0.0114,28.6227,0.0002,0.6244,0.0540
0.1290,0,Initialize,0.0019,0.0067,58.9427,-0.0113,28.5970,0.0002,0.6282,0.0570
0.1300,0,Initialize,0.0019,0.0066,58.9217,-0.0113,28.5711,0.0002,0.6322,0.0560
0.1310,0,Initialize,0.0019,0.0066,58.9003,-0.0113,28.5449,0.0002,0.6359,0.0530
0.1320,0,Initialize,0.0019,0.0066,58.8788,-0.0113,28.5187,0.0002,0.6396,0.0540
0.1330,0,Initialize,0.0019,0.0064,58.8571,-0.0113,28.4923,0.0002,0.6432,0.0740
0.1340,0,Initialize,0.0019,0.0063,58.8354,-0.0113,28.4657,0.0002,0.6467,0.1490
0.1350,0,Initialize,0.0019,0.0063,58.8354,-0.0113,28.4657,0.0002,0.6847,0.1050
0.1360,0,Initialize,0.0019,0.0061,58.8135,-0.0113,28.4386,0.0002,0.6880,0.0550
0.1370,0,Initialize,0.0019,0.0059,58.7912,-0.0112,28.4112,0.0002,0.6909,0.0510
0.1380,0,Initialize,0.0019,0.0058,58.7691,-0.0112,28.3840,0.0002,0.6942,0.0540
0.1390,0,Initialize,0.0019,0.0057,58.7465,-0.0112,28.3563,0.0002,0.6969,0.0540
0.1400,0,Initialize,0.0019,0.0056,58.7236,-0.0112,28.3283,0.0002,0.6994,0.0580
0.1410,0,Initialize,0.0019,0.0054,58.7009,-0.0112,28.2999,0.0002,0.7017,0.0530
0.1420,0,Initialize,0.0019,0.0054,58.6779,-0.0112,28.2716,0.0002,0.7041,0.0550
0.1430,0,Initialize,0.0019,0.0053,58.6545,-0.0112,28.2429,0.0002,0.7061,0.0540
0.1440,0,Initialize,0.0019,0.0052,58.6312,-0.0112,28.2140,0.0002,0.7080,0.0730
0.1450,0,Initialize,0.0019,0.0050,58.6076,-0.0112,28.1849,0.0002,0.7098,0.0560
0.1460,0,Initialize,0.0019,0.0049,58.5839,-0.0112,28.1557,0.0002,0.7115,0.0550
0.1470,0,Initialize,0.0019,0.0048,58.5598,-0.0112,28.1261,0.0002,0.7128,0.0520
0.1480,0,Initialize,0.0019,0.0046,58.5359,-0.0112,28.0965,0.0002,0.7144,0.0540
0.1490,0,Initialize,0.0019,0.0045,58.5118,-0.0112,28.0669,0.0002,0.7159,0.0530
0.1500,0,Initialize,0.0019,0.0045,58.4873,-0.0112,28.0369,0.0002,0.7170,0.0790
0.1510,0,Initialize,0.0019,0.0044,58.4625,-0.0112,28.0067,0.0002,0.7179,0.1550
0.1520,0,Initialize,0.0019,0.0043,58.4378,-0.0112,27.9765,0.0002,0.7190,0.0840
0.1530,0,Initialize,0.0019,0.0042,58.4128,-0.0112,27.9460,0.0002,0.7198,0.0770
