Time,X,Y,Z,Vel_X,Vel_Y,Vel_Z,Err_Norm
0.000000,0.000000,0.000000,0.000000,0.000925,-0.009245,0.003698,1.081665
0.001000,0.000001,-0.000009,0.000004,0.001849,-0.018490,0.007396,1.081655
0.002000,0.000003,-0.000028,0.000011,0.002774,-0.027735,0.011094,1.081635
0.003000,0.000006,-0.000055,0.000022,0.003698,-0.036980,0.014792,1.081605
0.004000,0.000009,-0.000092,0.000037,0.004623,-0.046225,0.018490,1.081565
0.005000,0.000014,-0.000139,0.000055,0.005547,-0.055470,0.022188,1.081515
0.006000,0.000019,-0.000194,0.000078,0.006472,-0.064715,0.025886,1.081455
0.007000,0.000026,-0.000259,0.000104,0.007396,-0.073960,0.029584,1.081385
0.008000,0.000033,-0.000333,0.000133,0.008321,-0.083205,0.033282,1.081305
0.009000,0.000042,-0.000416,0.000166,0.009245,-0.092450,0.036980,1.081215
0.010000,0.000051,-0.000508,0.000203,0.010170,-0.101695,0.040678,1.081115
0.011000,0.000061,-0.000610,0.000244,0.011094,-0.110940,0.044376,1.081005
0.012000,0.000072,-0.000721,0.000288,0.012019,-0.120185,0.048074,1.080885
0.013000,0.000084,-0.000841,0.000337,0.012943,-0.129430,0.051772,1.080755
0.014000,0.000097,-0.000971,0.000388,0.013868,-0.138675,0.055470,1.080615
0.015000,0.000111,-0.001109,0.000444,0.014792,-0.147920,0.059168,1.080465
0.016000,0.000126,-0.001257,0.000503,0.015717,-0.157165,0.062866,1.080305
0.017000,0.000141,-0.001414,0.000566,0.016641,-0.166410,0.066564,1.080135
0.018000,0.000158,-0.001581,0.000632,0.017566,-0.175655,0.070262,1.079955
0.019000,0.000176,-0.001757,0.000703,0.018490,-0.184900,0.073960,1.079765
0.020000,0.000194,-0.001941,0.000777,0.019415,-0.194145,0.077658,1.079565
0.021000,0.000214,-0.002136,0.000854,0.020339,-0.203390,0.081356,1.079355
0.022000,0.000234,-0.002339,0.000936,0.021264,-0.212635,0.085054,1.079135
0.023000,0.000255,-0.002552,0.001021,0.022188,-0.221880,0.088752,1.078905
0.024000,0.000277,-0.002774,0.001109,0.023113,-0.231125,0.092450,1.078665
0.025000,0.000300,-0.003005,0.001202,0.024037,-0.240370,0.096148,1.078415
0.026000,0.000324,-0.003245,0.001298,0.024962,-0.249615,0.099846,1.078155
0.027000,0.000349,-0.003495,0.001398,0.025886,-0.258860,0.103544,1.077885
0.028000,0.000375,-0.003753,0.001501,0.026811,-0.268105,0.107242,1.077605
0.029000,0.000402,-0.004022,0.001609,0.027735,-0.277350,0.110940,1.077315
0.030000,0.000430,-0.004299,0.001720,0.028660,-0.286595,0.114638,1.077015
0.031000,0.000459,-0.004586,0.001834,0.029584,-0.295840,0.118336,1.076705
0.032000,0.000488,-0.004881,0.001953,0.030509,-0.305085,0.122034,1.076385
0.033000,0.000519,-0.005186,0.002075,0.031433,-0.314330,0.125732,1.076055
0.034000,0.000550,-0.005501,0.002200,0.032358,-0.323575,0.129430,1.075715
0.035000,0.000582,-0.005824,0.002330,0.033282,-0.332820,0.133128,1.075365
0.036000,0.000616,-0.006157,0.002463,0.034207,-0.342065,0.136826,1.075005
0.037000,0.000650,-0.006499,0.002600,0.035131,-0.351310,0.140524,1.074635
0.038000,0.000685,-0.006851,0.002740,0.036056,-0.360555,0.144222,1.074255
0.039000,0.000721,-0.007211,0.002884,0.036980,-0.369800,0.147920,1.073865
0.040000,0.000758,-0.007581,0.003032,0.037905,-0.379045,0.151618,1.073465
0.041000,0.000796,-0.007960,0.003184,0.038829,-0.388290,0.155316,1.073055
0.042000,0.000835,-0.008348,0.003339,0.039754,-0.397535,0.159014,1.072635
0.043000,0.000875,-0.008746,0.003498,0.040678,-0.406780,0.162712,1.072205
0.044000,0.000915,-0.009153,0.003661,0.041603,-0.416025,0.166410,1.071765
0.045000,0.000957,-0.009569,0.003827,0.042527,-0.425270,0.170108,1.071315
0.046000,0.000999,-0.009994,0.003998,0.043452,-0.434515,0.173806,1.070855
0.047000,0.001043,-0.010428,0.004171,0.044376,-0.443760,0.177504,1.070385
0.048000,0.001087,-0.010872,0.004349,0.045301,-0.453005,0.181202,1.069905
0.049000,0.001133,-0.011325,0.004530,0.046225,-0.462250,0.184900,1.069415
0.050000,0.001179,-0.011787,0.004715,0.046225,-0.462250,0.184900,1.068915
0.051000,0.001225,-0.012250,0.004900,0.046225,-0.462250,0.184900,1.068415
0.052000,0.001271,-0.012712,0.005085,0.046225,-0.462250,0.184900,1.067915
0.053000,0.001317,-0.013174,0.005270,0.046225,-0.462250,0.184900,1.067415
0.054000,0.001364,-0.013636,0.005455,0.046225,-0.462250,0.184900,1.066915
0.055000,0.001410,-0.014099,0.005639,0.046225,-0.462250,0.184900,1.066415
0.056000,0.001456,-0.014561,0.005824,0.046225,-0.462250,0.184900,1.065915
0.057000,0.001502,-0.015023,0.006009,0.046225,-0.462250,0.184900,1.065415
0.058000,0.001549,-0.015485,0.006194,0.046225,-0.462250,0.184900,1.064915
0.059000,0.001595,-0.015948,0.006379,0.046225,-0.462250,0.184900,1.064415
0.060000,0.001641,-0.016410,0.006564,0.046225,-0.462250,0.184900,1.063915
0.061000,0.001687,-0.016872,0.006749,0.046225,-0.462250,0.184900,1.063415
0.062000,0.001733,-0.017334,0.006934,0.046225,-0.462250,0.184900,1.062915
0.063000,0.001780,-0.017797,0.007119,0.046225,-0.462250,0.184900,1.062415
0.064000,0.001826,-0.018259,0.007304,0.046225,-0.462250,0.184900,1.061915
0.065000,0.001872,-0.018721,0.007488,0.046225,-0.462250,0.184900,1.061415
0.066000,0.001918,-0.019183,0.007673,0.046225,-0.462250,0.184900,1.060915
0.067000,0.001965,-0.019646,0.007858,0.046225,-0.462250,0.184900,1.060415
0.068000,0.002011,-0.020108,0.008043,0.046225,-0.462250,0.184900,1.059915
0.069000,0.002057,-0.020570,0.008228,0.046225,-0.462250,0.184900,1.059415
0.070000,0.002103,-0.021032,0.008413,0.046225,-0.462250,0.184900,1.058915
0.071000,0.002149,-0.021495,0.008598,0.046225,-0.462250,0.184900,1.058415
0.072000,0.002196,-0.021957,0.008783,0.046225,-0.462250,0.184900,1.057915
0.073000,0.002242,-0.022419,0.008968,0.046225,-0.462250,0.184900,1.057415
0.074000,0.002288,-0.022881,0.009153,0.046225,-0.462250,0.184900,1.056915
0.075000,0.002334,-0.023344,0.009337,0.046225,-0.462250,0.184900,1.056415
0.076000,0.002381,-0.023806,0.009522,0.046225,-0.462250,0.184900,1.055915
0.077000,0.002427,-0.024268,0.009707,0.046225,-0.462250,0.184900,1.055415
0.078000,0.002473,-0.024730,0.009892,0.046225,-0.462250,0.184900,1.054915
0.079000,0.002519,-0.025193,0.010077,0.046225,-0.462250,0.184900,1.054415
0.080000,0.002565,-0.025655,0.010262,0.046225,-0.462250,0.184900,1.053915
0.081000,0.002612,-0.026117,0.010447,0.046225,-0.462250,0.184900,1.053415
0.082000,0.002658,-0.026579,0.010632,0.046225,-0.462250,0.184900,1.052915
0.083000,0.002704,-0.027042,0.010817,0.046225,-0.462250,0.184900,1.052415
0.084000,0.002750,-0.027504,0.011002,0.046225,-0.462250,0.184900,1.051915
0.085000,0.002797,-0.027966,0.011186,0.046225,-0.462250,0.184900,1.051415
0.086000,0.002843,-0.028428,0.011371,0.046225,-0.462250,0.184900,1.050915
0.087000,0.002889,-0.028891,0.011556,0.046225,-0.462250,0.184900,1.050415
0.088000,0.002935,-0.029353,0.011741,0.046225,-0.462250,0.184900,1.049915
0.089000,0.002982,-0.029815,0.011926,0.046225,-0.462250,0.184900,1.049415
0.090000,0.003028,-0.030277,0.012111,0.046225,-0.462250,0.184900,1.048915
0.091000,0.003074,-0.030740,0.012296,0.046225,-0.462250,0.184900,1.048415
0.092000,0.003120,-0.031202,0.012481,0.046225,-0.462250,0.184900,1.047915
0.093000,0.003166,-0.031664,0.012666,0.046225,-0.462250,0.184900,1.047415
0.094000,0.003213,-0.032126,0.012851,0.046225,-0.462250,0.184900,1.046915
0.095000,0.003259,-0.032589,0.013035,0.046225,-0.462250,0.184900,1.046415
0.096000,0.003305,-0.033051,0.013220,0.046225,-0.462250,0.184900,1.045915
0.097000,0.003351,-0.033513,0.013405,0.046225,-0.462250,0.184900,1.045415
0.098000,0.003398,-0.033975,0.013590,0.046225,-0.462250,0.184900,1.044915
0.099000,0.003444,-0.034438,0.013775,0.046225,-0.462250,0.184900,1.044415
0.100000,0.003490,-0.034900,0.013960,0.046225,-0.462250,0.184900,1.043915
0.101000,0.003536,-0.035362,0.014145,0.046225,-0.462250,0.184900,1.043415
0.102000,0.003582,-0.035824,0.014330,0.046225,-0.462250,0.184900,1.042915
0.103000,0.003629,-0.036287,0.014515,0.046225,-0.462250,0.184900,1.042415
0.104000,0.003675,-0.036749,0.014700,0.046225,-0.462250,0.184900,1.041915
0.105000,0.003721,-0.037211,0.014884,0.046225,-0.462250,0.184900,1.041415
0.106000,0.003767,-0.037673,0.015069,0.046225,-0.462250,0.184900,1.040915
0.107000,0.003814,-0.038136,0.015254,0.046225,-0.462250,0.184900,1.040415
0.108000,0.003860,-0.038598,0.015439,0.046225,-0.462250,0.184900,1.039915
0.109000,0.003906,-0.039060,0.015624,0.046225,-0.462250,0.184900,1.039415
0.110000,0.003952,-0.039522,0.015809,0.046225,-0.462250,0.184900,1.038915
0.111000,0.003998,-0.039985,0.015994,0.046225,-0.462250,0.184900,1.038415
0.112000,0.004045,-0.040447,0.016179,0.046225,-0.462250,0.184900,1.037915
0.113000,0.004091,-0.040909,0.016364,0.046225,-0.462250,0.184900,1.037415
0.114000,0.004137,-0.041371,0.016549,0.046225,-0.462250,0.184900,1.036915
0.115000,0.004183,-0.041834,0.016733,0.046225,-0.462250,0.184900,1.036415
0.116000,0.004230,-0.042296,0.016918,0.046225,-0.462250,0.184900,1.035915
0.117000,0.004276,-0.042758,0.017103,0.046225,-0.462250,0.184900,1.035415
0.118000,0.004322,-0.043220,0.017288,0.046225,-0.462250,0.184900,1.034915
0.119000,0.004368,-0.043683,0.017473,0.046225,-0.462250,0.184900,1.034415
0.120000,0.004414,-0.044145,0.017658,0.046225,-0.462250,0.184900,1.033915
0.121000,0.004461,-0.044607,0.017843,0.046225,-0.462250,0.184900,1.033415
0.122000,0.004507,-0.045069,0.018028,0.046225,-0.462250,0.184900,1.032915
0.123000,0.004553,-0.045532,0.018213,0.046225,-0.462250,0.184900,1.032415
0.124000,0.004599,-0.045994,0.018398,0.046225,-0.462250,0.184900,1.031915
0.125000,0.004646,-0.046456,0.018582,0.046225,-0.462250,0.184900,1.031415
0.126000,0.004692,-0.046918,0.018767,0.046225,-0.462250,0.184900,1.030915
0.127000,0.004738,-0.047381,0.018952,0.046225,-0.462250,0.184900,1.030415
0.128000,0.004784,-0.047843,0.019137,0.046225,-0.462250,0.184900,1.029915
0.129000,0.004831,-0.048305,0.019322,0.046225,-0.462250,0.184900,1.029415
0.130000,0.004877,-0.048767,0.019507,0.046225,-0.462250,0.184900,1.028915
0.131000,0.004923,-0.049230,0.019692,0.046225,-0.462250,0.184900,1.028415
0.132000,0.004969,-0.049692,0.019877,0.046225,-0.462250,0.184900,1.027915
0.133000,0.005015,-0.050154,0.020062,0.046225,-0.462250,0.184900,1.027415
0.134000,0.005062,-0.050616,0.020247,0.046225,-0.462250,0.184900,1.026915
0.135000,0.005108,-0.051079,0.020431,0.046225,-0.462250,0.184900,1.026415
0.136000,0.005154,-0.051541,0.020616,0.046225,-0.462250,0.184900,1.025915
0.137000,0.005200,-0.052003,0.020801,0.046225,-0.462250,0.184900,1.025415
0.138000,0.005247,-0.052465,0.020986,0.046225,-0.462250,0.184900,1.024915
0.139000,0.005293,-0.052928,0.021171,0.046225,-0.462250,0.184900,1.024415
0.140000,0.005339,-0.053390,0.021356,0.046225,-0.462250,0.184900,1.023915
0.141000,0.005385,-0.053852,0.021541,0.046225,-0.462250,0.184900,1.023415
0.142000,0.005431,-0.054314,0.021726,0.046225,-0.462250,0.184900,1.022915
0.143000,0.005478,-0.054777,0.021911,0.046225,-0.462250,0.184900,1.022415
