Time,Step,J1_Pos,J2_Pos,J3_Pos,J4_Pos,J5_Pos,J6_Pos,Q_Err,DQ_Norm,Reached
0.000000,1,0.000120,-0.000120,90.000180,0.000225,89.999775,0.000255,112.804704,0.476943,0
0.001000,1,0.000360,-0.000360,90.000540,0.000675,89.999325,0.000765,112.803827,0.953887,0
0.002000,1,0.000720,-0.000720,90.001080,0.001350,89.998650,0.001530,112.802513,1.430830,0
0.003000,1,0.001200,-0.001200,90.001800,0.002250,89.997750,0.002550,112.800760,1.907774,0
0.004000,1,0.001800,-0.001800,90.002700,0.003375,89.996625,0.003825,112.798570,2.384717,0
0.005000,1,0.002520,-0.002520,90.003780,0.004725,89.995275,0.005355,112.795941,2.861660,0
0.006000,1,0.003360,-0.003360,90.005040,0.006300,89.993700,0.007140,112.792874,3.338604,0
0.007000,1,0.004320,-0.004320,90.006480,0.008100,89.991900,0.009180,112.789369,3.815547,0
0.008000,1,0.005400,-0.005400,90.008100,0.010125,89.989875,0.011475,112.785426,4.292491,0
0.009000,1,0.006600,-0.006600,90.009900,0.012375,89.987625,0.014025,112.781044,4.769434,0
0.010000,1,0.007920,-0.007920,90.011880,0.014850,89.985150,0.016830,112.776225,5.246377,0
0.011000,1,0.009360,-0.009360,90.014040,0.017550,89.982450,0.019890,112.770967,5.723321,0
0.012000,1,0.010920,-0.010920,90.016380,0.020475,89.979525,0.023205,112.765272,6.200264,0
0.013000,1,0.012600,-0.012600,90.018900,0.023625,89.976375,0.026775,112.759138,6.677208,0
0.014000,1,0.014400,-0.014400,90.021600,0.027000,89.973000,0.030600,112.752567,7.154151,0
0.015000,1,0.016320,-0.016320,90.024480,0.030600,89.969400,0.034680,112.745557,7.631094,0
0.016000,1,0.018360,-0.018360,90.027540,0.034425,89.965575,0.039015,112.738109,8.108038,0
0.017000,1,0.020520,-0.020520,90.030780,0.038475,89.961525,0.043605,112.730224,8.584981,0
0.018000,1,0.022800,-0.022800,90.034199,0.042750,89.957250,0.048450,112.721900,9.061623,0
0.019000,1,0.025200,-0.025200,90.037796,0.047250,89.952750,0.053550,112.713139,9.537824,0
0.020000,1,0.027720,-0.027720,90.041571,0.051975,89.948025,0.058905,112.703940,10.013588,0
0.021000,1,0.030360,-0.030360,90.045520,0.056925,89.943075,0.064515,112.694305,10.488917,0
0.022000,1,0.033120,-0.033120,90.049645,0.062100,89.937900,0.070380,112.684232,10.963814,0
0.023000,1,0.036000,-0.036000,90.053943,0.067500,89.932500,0.076500,112.673723,11.438282,0
0.024000,1,0.039000,-0.039000,90.058413,0.073125,89.926875,0.082875,112.662777,11.912326,0
0.025000,1,0.042120,-0.042120,90.063054,0.078975,89.921025,0.089505,112.651395,12.385947,0
0.026000,1,0.045360,-0.045360,90.067865,0.085050,89.914950,0.096390,112.639576,12.859149,0
