Time,J1,J2,J3,J4,J5,J6,X,Y,Z
0.000000,0.000000,0.000000,-0.000090,0.000000,-0.000113,0.000000,-0.000001,0.034500,1.452500
0.001000,0.000000,0.000000,-0.000360,0.000000,-0.000450,0.000000,-0.000005,0.034500,1.452500
0.002000,0.000000,0.000000,-0.000810,0.000000,-0.001013,0.000000,-0.000012,0.034500,1.452500
0.003000,0.000000,0.000000,-0.001440,0.000000,-0.001800,0.000000,-0.000021,0.034500,1.452500
0.004000,0.000000,0.000000,-0.002250,0.000000,-0.002812,0.000000,-0.000033,0.034500,1.452500
0.005000,0.000000,0.000000,-0.003240,0.000000,-0.004050,0.000000,-0.000047,0.034500,1.452500
0.006000,0.000000,0.000000,-0.004410,0.000000,-0.005513,0.000000,-0.000064,0.034500,1.452500
0.007000,0.000000,0.000000,-0.005760,0.000000,-0.007200,0.000000,-0.000084,0.034500,1.452500
0.008000,0.000000,0.000000,-0.007290,0.000000,-0.009113,0.000000,-0.000106,0.034500,1.452500
0.009000,0.000000,0.000000,-0.009000,0.000000,-0.011250,0.000000,-0.000131,0.034500,1.452500
0.010000,0.000000,0.000000,-0.010890,0.000000,-0.013613,0.000000,-0.000158,0.034500,1.452500
0.011000,0.000000,0.000000,-0.012960,0.000000,-0.016200,0.000000,-0.000188,0.034500,1.452500
0.012000,0.000000,0.000000,-0.015210,0.000000,-0.019013,0.000000,-0.000221,0.034500,1.452500
0.013000,0.000000,0.000000,-0.017640,0.000000,-0.022050,0.000000,-0.000256,0.034500,1.452500
0.014000,0.000000,0.000000,-0.020250,0.000000,-0.025313,0.000000,-0.000294,0.034500,1.452500
0.015000,0.000000,0.000000,-0.023040,0.000000,-0.028800,0.000000,-0.000334,0.034500,1.452500
0.016000,0.000000,0.000000,-0.026010,0.000000,-0.032513,0.000000,-0.000377,0.034500,1.452500
0.017000,0.000000,0.000000,-0.029160,0.000000,-0.036450,0.000000,-0.000423,0.034500,1.452500
0.018000,0.000000,0.000000,-0.032490,0.000000,-0.040613,0.000000,-0.000471,0.034500,1.452500
0.019000,0.000000,0.000000,-0.036000,0.000000,-0.045000,0.000000,-0.000522,0.034500,1.452500
0.020000,0.000000,0.000000,-0.039690,0.000000,-0.049613,0.000000,-0.000576,0.034500,1.452500
0.021000,0.000000,0.000000,-0.043560,0.000000,-0.054450,0.000000,-0.000632,0.034500,1.452500
0.022000,0.000000,0.000000,-0.047610,0.000000,-0.059513,0.000000,-0.000691,0.034500,1.452500
0.023000,0.000000,0.000000,-0.051840,0.000000,-0.064800,0.000000,-0.000752,0.034500,1.452500
0.024000,0.000000,0.000000,-0.056250,0.000000,-0.070313,0.000000,-0.000816,0.034500,1.452499
0.025000,0.000000,0.000000,-0.060840,0.000000,-0.076050,0.000000,-0.000883,0.034500,1.452499
0.026000,0.000000,0.000000,-0.065610,0.000000,-0.082013,0.000000,-0.000952,0.034500,1.452499
0.027000,0.000000,0.000000,-0.070560,0.000000,-0.088200,0.000000,-0.001024,0.034500,1.452499
0.028000,0.000000,0.000000,-0.075690,0.000000,-0.094613,0.000000,-0.001098,0.034500,1.452499
0.029000,0.000000,0.000000,-0.081000,0.000000,-0.101250,0.000000,-0.001175,0.034500,1.452499
0.030000,0.000000,0.000000,-0.086490,0.000000,-0.108113,0.000000,-0.001255,0.034500,1.452499
0.031000,0.000000,0.000000,-0.092160,0.000000,-0.115200,0.000000,-0.001337,0.034500,1.452498
0.032000,0.000000,0.000000,-0.098010,0.000000,-0.122513,0.000000,-0.001422,0.034500,1.452498
0.033000,0.000000,0.000000,-0.104040,0.000000,-0.130050,0.000000,-0.001509,0.034500,1.452498
0.034000,0.000000,0.000000,-0.110250,0.000000,-0.137813,0.000000,-0.001600,0.034500,1.452498
0.035000,0.000000,0.000000,-0.116640,0.000000,-0.145800,0.000000,-0.001692,0.034500,1.452498
0.036000,0.000000,0.000000,-0.123210,0.000000,-0.154013,0.000000,-0.001788,0.034500,1.452497
0.037000,0.000000,0.000000,-0.129960,0.000000,-0.162450,0.000000,-0.001885,0.034500,1.452497
0.038000,0.000000,0.000000,-0.136890,0.000000,-0.171113,0.000000,-0.001986,0.034500,1.452497
0.039000,0.000000,0.000000,-0.144000,0.000000,-0.180000,0.000000,-0.002089,0.034500,1.452496
0.040000,0.000000,0.000000,-0.151290,0.000000,-0.189113,0.000000,-0.002195,0.034500,1.452496
