Time,Step,J1,J2,J3,J4,J5,J6,Q_Error,Exec_us,Reached
0.0000,1,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,89.9999,0.7450,0
0.0010,1,0.0000,0.0000,0.0004,0.0000,0.0000,0.0000,89.9996,0.2330,0
0.0020,1,0.0000,0.0000,0.0008,0.0000,0.0000,0.0000,89.9992,0.2320,0
0.0030,1,0.0000,0.0000,0.0014,0.0000,0.0000,0.0000,89.9986,0.2170,0
0.0040,1,0.0000,0.0000,0.0023,0.0000,0.0000,0.0000,89.9977,0.2150,0
0.0050,1,0.0000,0.0000,0.0032,0.0000,0.0000,0.0000,89.9968,0.2190,0
0.0060,1,0.0000,0.0000,0.0044,0.0000,0.0000,0.0000,89.9956,0.2140,0
0.0070,1,0.0000,0.0000,0.0058,0.0000,0.0000,0.0000,89.9942,0.2170,0
0.0080,1,0.0000,0.0000,0.0073,0.0000,0.0000,0.0000,89.9927,0.2150,0
0.0090,1,0.0000,0.0000,0.0090,0.0000,0.0000,0.0000,89.9910,0.2180,0
0.0100,1,0.0000,0.0000,0.0109,0.0000,0.0000,0.0000,89.9891,0.2160,0
0.0110,1,0.0000,0.0000,0.0130,0.0000,0.0000,0.0000,89.9870,0.2200,0
0.0120,1,0.0000,0.0000,0.0152,0.0000,0.0000,0.0000,89.9848,0.2190,0
0.0130,1,0.0000,0.0000,0.0176,0.0000,0.0000,0.0000,89.9824,0.2200,0
0.0140,1,0.0000,0.0000,0.0203,0.0000,0.0000,0.0000,89.9797,0.2340,0
0.0150,1,0.0000,0.0000,0.0230,0.0000,0.0000,0.0000,89.9770,0.2190,0
0.0160,1,0.0000,0.0000,0.0260,0.0000,0.0000,0.0000,89.9740,0.2180,0
0.0170,1,0.0000,0.0000,0.0292,0.0000,0.0000,0.0000,89.9708,0.2180,0
0.0180,1,0.0000,0.0000,0.0325,0.0000,0.0000,0.0000,89.9675,0.2160,0
0.0190,1,0.0000,0.0000,0.0360,0.0000,0.0000,0.0000,89.9640,0.2160,0
0.0200,1,0.0000,0.0000,0.0397,0.0000,0.0000,0.0000,89.9603,0.2150,0
0.0210,1,0.0000,0.0000,0.0436,0.0000,0.0000,0.0000,89.9564,0.2160,0
0.0220,1,0.0000,0.0000,0.0476,0.0000,0.0000,0.0000,89.9524,0.2170,0
0.0230,1,0.0000,0.0000,0.0518,0.0000,0.0000,0.0000,89.9482,0.2140,0
0.0240,1,0.0000,0.0000,0.0563,0.0000,0.0000,0.0000,89.9437,0.2170,0
0.0250,1,0.0000,0.0000,0.0608,0.0000,0.0000,0.0000,89.9392,0.2150,0
0.0260,1,0.0000,0.0000,0.0656,0.0000,0.0000,0.0000,89.9344,0.2150,0
0.0270,1,0.0000,0.0000,0.0706,0.0000,0.0000,0.0000,89.9294,0.2180,0
0.0280,1,0.0000,0.0000,0.0757,0.0000,0.0000,0.0000,89.9243,0.2180,0
0.0290,1,0.0000,0.0000,0.0810,0.0000,0.0000,0.0000,89.9190,0.2180,0
0.0300,1,0.0000,0.0000,0.0865,0.0000,0.0000,0.0000,89.9135,0.2180,0
0.0310,1,0.0000,0.0000,0.0922,0.0000,0.0000,0.0000,89.9078,0.2180,0
0.0320,1,0.0000,0.0000,0.0980,0.0000,0.0000,0.0000,89.9020,0.2170,0
0.0330,1,0.0000,0.0000,0.1040,0.0000,0.0000,0.0000,89.8960,0.2200,0
0.0340,1,0.0000,0.0000,0.1103,0.0000,0.0000,0.0000,89.8898,0.2210,0
0.0350,1,0.0000,0.0000,0.1166,0.0000,0.0000,0.0000,89.8834,0.2190,0
0.0360,1,0.0000,0.0000,0.1232,0.0000,0.0000,0.0000,89.8768,0.2170,0
0.0370,1,0.0000,0.0000,0.1300,0.0000,0.0000,0.0000,89.8700,0.2170,0
0.0380,1,0.0000,0.0000,0.1369,0.0000,0.0000,0.0000,89.8631,0.2190,0
