Time,J1,J2,J3,J4,J5,J6,TCP_X,TCP_Y,TCP_Z
0.0000,-0.0001,-0.0001,0.0002,0.0001,-0.0002,0.0001,-0.0000,0.0345,1.4525
0.0010,-0.0002,-0.0004,0.0005,0.0001,-0.0007,0.0001,-0.0000,0.0345,1.4525
0.0020,-0.0004,-0.0007,0.0011,0.0002,-0.0014,0.0002,-0.0000,0.0345,1.4525
0.0030,-0.0005,-0.0012,0.0018,0.0002,-0.0023,0.0002,-0.0000,0.0345,1.4525
0.0040,-0.0006,-0.0018,0.0027,0.0003,-0.0034,0.0003,-0.0000,0.0345,1.4525
0.0050,-0.0007,-0.0025,0.0038,0.0003,-0.0047,0.0004,-0.0000,0.0345,1.4525
0.0060,-0.0008,-0.0034,0.0050,0.0004,-0.0063,0.0005,-0.0000,0.0345,1.4525
0.0070,-0.0009,-0.0043,0.0065,0.0004,-0.0081,0.0006,-0.0000,0.0345,1.4525
0.0080,-0.0010,-0.0054,0.0081,0.0004,-0.0101,0.0006,-0.0000,0.0345,1.4525
0.0090,-0.0012,-0.0066,0.0099,0.0004,-0.0124,0.0007,-0.0001,0.0345,1.4525
0.0100,-0.0013,-0.0079,0.0119,0.0004,-0.0149,0.0009,-0.0001,0.0345,1.4525
0.0110,-0.0014,-0.0094,0.0140,0.0004,-0.0176,0.0010,-0.0001,0.0345,1.4525
0.0120,-0.0015,-0.0109,0.0164,0.0004,-0.0205,0.0011,-0.0001,0.0345,1.4525
0.0130,-0.0016,-0.0126,0.0189,0.0004,-0.0236,0.0012,-0.0001,0.0345,1.4525
0.0140,-0.0017,-0.0144,0.0216,0.0004,-0.0270,0.0013,-0.0001,0.0345,1.4525
0.0150,-0.0018,-0.0163,0.0245,0.0004,-0.0306,0.0014,-0.0001,0.0345,1.4525
0.0160,-0.0019,-0.0184,0.0275,0.0004,-0.0344,0.0015,-0.0002,0.0345,1.4525
0.0170,-0.0021,-0.0205,0.0308,0.0004,-0.0385,0.0016,-0.0002,0.0345,1.4525
0.0180,-0.0022,-0.0228,0.0342,0.0004,-0.0428,0.0018,-0.0002,0.0345,1.4525
0.0190,-0.0023,-0.0252,0.0378,0.0004,-0.0473,0.0019,-0.0002,0.0345,1.4525
0.0200,-0.0024,-0.0277,0.0416,0.0004,-0.0520,0.0020,-0.0002,0.0345,1.4525
0.0210,-0.0025,-0.0304,0.0455,0.0004,-0.0569,0.0021,-0.0003,0.0345,1.4525
0.0220,-0.0026,-0.0331,0.0497,0.0004,-0.0621,0.0022,-0.0003,0.0345,1.4525
0.0230,-0.0028,-0.0360,0.0540,0.0004,-0.0675,0.0023,-0.0003,0.0345,1.4525
0.0240,-0.0029,-0.0390,0.0585,0.0004,-0.0731,0.0025,-0.0003,0.0345,1.4525
0.0250,-0.0030,-0.0421,0.0632,0.0004,-0.0790,0.0026,-0.0004,0.0345,1.4525
0.0260,-0.0031,-0.0454,0.0680,0.0004,-0.0850,0.0027,-0.0004,0.0345,1.4525
0.0270,-0.0033,-0.0487,0.0731,0.0004,-0.0913,0.0028,-0.0004,0.0345,1.4525
0.0280,-0.0034,-0.0522,0.0783,0.0004,-0.0979,0.0030,-0.0005,0.0345,1.4525
0.0290,-0.0035,-0.0558,0.0837,0.0004,-0.1046,0.0031,-0.0005,0.0345,1.4525
0.0300,-0.0037,-0.0595,0.0893,0.0004,-0.1116,0.0032,-0.0005,0.0345,1.4525
0.0310,-0.0038,-0.0634,0.0950,0.0004,-0.1188,0.0034,-0.0006,0.0345,1.4525
0.0320,-0.0040,-0.0673,0.1010,0.0005,-0.1262,0.0035,-0.0006,0.0345,1.4525
0.0330,-0.0041,-0.0714,0.1071,0.0005,-0.1339,0.0036,-0.0006,0.0345,1.4525
0.0340,-0.0043,-0.0756,0.1134,0.0005,-0.1417,0.0038,-0.0007,0.0345,1.4525
0.0350,-0.0044,-0.0799,0.1199,0.0005,-0.1498,0.0039,-0.0007,0.0345,1.4525
0.0360,-0.0046,-0.0844,0.1265,0.0005,-0.1582,0.0041,-0.0007,0.0345,1.4525
0.0370,-0.0047,-0.0889,0.1334,0.0005,-0.1667,0.0042,-0.0008,0.0345,1.4525
0.0380,-0.0049,-0.0936,0.1404,0.0005,-0.1755,0.0044,-0.0008,0.0345,1.4525
0.0390,-0.0050,-0.0984,0.1476,0.0005,-0.1845,0.0045,-0.0009,0.0345,1.4525
0.0400,-0.0052,-0.1033,0.1550,0.0005,-0.1937,0.0047,-0.0009,0.0345,1.4525
