Time,Mode,Q1,Q2,Q3,Q4,Q5,Q6,X,Y,Z
0,TRAPJ,5.98652e-05,0,0,0,0,0,-3.60471e-08,0.0345,1.4525
0.001,TRAPJ,0.000239461,0,0,0,0,0,-1.44189e-07,0.0345,1.4525
0.002,TRAPJ,0.000538787,0,0,0,0,0,-3.24424e-07,0.0345,1.4525
0.003,TRAPJ,0.000957843,0,0,0,0,0,-5.76754e-07,0.0345,1.4525
0.004,TRAPJ,0.00149663,0,0,0,0,0,-9.01178e-07,0.0345,1.4525
0.005,TRAPJ,0.00215515,0,0,0,0,0,-1.2977e-06,0.0345,1.4525
0.006,TRAPJ,0.00293339,0,0,0,0,0,-1.76631e-06,0.0345,1.4525
0.007,TRAPJ,0.00383137,0,0,0,0,0,-2.30702e-06,0.0345,1.4525
0.008,TRAPJ,0.00484908,0,0,0,0,0,-2.91982e-06,0.0345,1.4525
0.009,TRAPJ,0.00598652,0,0,0,0,0,-3.60471e-06,0.0345,1.4525
0.01,TRAPJ,0.00724369,0,0,0,0,0,-4.3617e-06,0.0345,1.4525
0.011,TRAPJ,0.00862059,0,0,0,0,0,-5.19079e-06,0.0345,1.4525
0.012,TRAPJ,0.0101172,0,0,0,0,0,-6.09197e-06,0.0345,1.4525
0.013,TRAPJ,0.0117336,0,0,0,0,0,-7.06524e-06,0.0345,1.4525
0.014,TRAPJ,0.0134697,0,0,0,0,0,-8.11061e-06,0.0345,1.4525
0.015,TRAPJ,0.0153255,0,0,0,0,0,-9.22807e-06,0.0345,1.4525
0.016,TRAPJ,0.017301,0,0,0,0,0,-1.04176e-05,0.0345,1.4525
0.017,TRAPJ,0.0193963,0,0,0,0,0,-1.16793e-05,0.0345,1.4525
0.018,TRAPJ,0.0216113,0,0,0,0,0,-1.3013e-05,0.0345,1.4525
0.019,TRAPJ,0.0239461,0,0,0,0,0,-1.44189e-05,0.0345,1.4525
0.02,TRAPJ,0.0264005,0,0,0,0,0,-1.58968e-05,0.0345,1.4525
0.021,TRAPJ,0.0289747,0,0,0,0,0,-1.74468e-05,0.0345,1.4525
0.022,TRAPJ,0.0316687,0,0,0,0,0,-1.90689e-05,0.0345,1.4525
0.023,TRAPJ,0.0344823,0,0,0,0,0,-2.07631e-05,0.0345,1.4525
0.024,TRAPJ,0.0374157,0,0,0,0,0,-2.25295e-05,0.0345,1.4525
0.025,TRAPJ,0.0404689,0,0,0,0,0,-2.43679e-05,0.0345,1.4525
0.026,TRAPJ,0.0436417,0,0,0,0,0,-2.62784e-05,0.0345,1.4525
0.027,TRAPJ,0.0469343,0,0,0,0,0,-2.8261e-05,0.0345,1.4525
0.028,TRAPJ,0.0503466,0,0,0,0,0,-3.03156e-05,0.0345,1.4525
0.029,TRAPJ,0.0538787,0,0,0,0,0,-3.24424e-05,0.0345,1.4525
0.03,TRAPJ,0.0575304,0,0,0,0,0,-3.46413e-05,0.0345,1.4525
0.031,TRAPJ,0.0613019,0,0,0,0,0,-3.69123e-05,0.0345,1.4525
0.032,TRAPJ,0.0651932,0,0,0,0,0,-3.92553e-05,0.0345,1.4525
0.033,TRAPJ,0.0692042,0,0,0,0,0,-4.16705e-05,0.0345,1.4525
0.034,TRAPJ,0.0733348,0,0,0,0,0,-4.41577e-05,0.0345,1.4525
0.035,TRAPJ,0.0775853,0,0,0,0,0,-4.67171e-05,0.0345,1.4525
0.036,TRAPJ,0.0819554,0,0,0,0,0,-4.93485e-05,0.0345,1.4525
0.037,TRAPJ,0.0864453,0,0,0,0,0,-5.2052e-05,0.0345,1.4525
0.038,TRAPJ,0.0910549,0,0,0,0,0,-5.48277e-05,0.0345,1.4525
0.039,TRAPJ,0.0957843,0,0,0,0,0,-5.76754e-05,0.0345,1.4525
0.04,TRAPJ,0.100633,0,0,0,0,0,-6.05952e-05,0.0344999,1.4525
0.041,TRAPJ,0.105602,0,0,0,0,0,-6.35871e-05,0.0344999,1.4525
0.042,TRAPJ,0.110691,0,0,0,0,0,-6.66511e-05,0.0344999,1.4525
0.043,TRAPJ,0.115899,0,0,0,0,0,-6.97872e-05,0.0344999,1.4525
0.044,TRAPJ,0.121227,0,0,0,0,0,-7.29954e-05,0.0344999,1.4525
0.045,TRAPJ,0.126675,0,0,0,0,0,-7.62757e-05,0.0344999,1.4525
0.046,TRAPJ,0.132242,0,0,0,0,0,-7.96281e-05,0.0344999,1.4525
0.047,TRAPJ,0.137929,0,0,0,0,0,-8.30525e-05,0.0344999,1.4525
0.048,TRAPJ,0.143736,0,0,0,0,0,-8.65491e-05,0.0344999,1.4525
0.049,TRAPJ,0.149663,0,0,0,0,0,-9.01177e-05,0.0344999,1.4525
0.05,TRAPJ,0.155709,0,0,0,0,0,-9.37585e-05,0.0344999,1.4525
0.051,TRAPJ,0.161875,0,0,0,0,0,-9.74713e-05,0.0344999,1.4525
0.052,TRAPJ,0.168161,0,0,0,0,0,-0.000101256,0.0344999,1.4525
0.053,TRAPJ,0.174567,0,0,0,0,0,-0.000105113,0.0344998,1.4525
0.054,TRAPJ,0.181092,0,0,0,0,0,-0.000109042,0.0344998,1.4525
0.055,TRAPJ,0.187737,0,0,0,0,0,-0.000113044,0.0344998,1.4525
0.056,TRAPJ,0.194502,0,0,0,0,0,-0.000117117,0.0344998,1.4525
0.057,TRAPJ,0.201386,0,0,0,0,0,-0.000121262,0.0344998,1.4525
0.058,TRAPJ,0.208391,0,0,0,0,0,-0.00012548,0.0344998,1.4525
0.059,TRAPJ,0.215515,0,0,0,0,0,-0.000129769,0.0344998,1.4525
0.06,TRAPJ,0.222758,0,0,0,0,0,-0.000134131,0.0344997,1.4525
